time	channel1	channel2	channel3	channel4	class
0	1.882	1.765	1.608	2.078	6
1	1.882	1.765	1.627	2.157	6
2	1.843	1.784	1.667	2.196	6
3	1.824	1.843	1.725	2.235	6
4	1.843	1.902	1.882	2.176	6
5	1.843	1.941	2.118	2.157	6
6	1.902	2.0	2.255	2.137	6
7	1.941	2.039	2.412	2.02	6
8	2.02	2.02	2.451	1.902	6
9	2.0	2.02	2.451	1.804	6
10	2.039	1.98	2.451	1.765	6
11	2.078	1.941	2.392	1.706	6
12	2.157	1.941	2.255	1.706	6
13	2.137	1.863	2.059	1.706	6
14	2.039	1.765	1.882	1.765	6
15	1.98	1.725	1.725	1.804	6
16	1.941	1.706	1.608	1.902	6
17	1.922	1.706	1.608	2.02	6
18	1.882	1.745	1.608	2.098	6
19	1.863	1.765	1.667	2.137	6
20	1.843	1.804	1.804	2.196	6
21	1.863	1.902	1.961	2.196	6
22	1.882	1.961	2.137	2.176	6
23	1.882	2.0	2.196	2.098	6
24	1.922	2.0	2.392	1.98	6
25	2.0	2.02	2.471	1.863	6
26	2.059	2.039	2.471	1.765	6
27	2.059	2.02	2.471	1.765	6
28	2.039	1.941	2.431	1.725	6
29	2.137	1.922	2.294	1.765	6
30	2.137	1.863	2.078	1.706	6
31	2.078	1.745	1.843	1.725	6
32	2.0	1.725	1.706	1.765	6
33	1.98	1.765	1.627	1.882	6
34	1.882	1.745	1.647	2.039	6
35	1.843	1.725	1.608	2.118	6
36	1.843	1.765	1.647	2.176	6
37	1.804	1.843	1.765	2.176	6
38	1.804	1.882	1.902	2.196	6
39	1.843	1.961	2.118	2.176	6
40	1.902	2.02	2.294	2.157	6
41	1.922	2.098	2.431	2.039	6
42	1.961	2.059	2.51	1.922	6
43	2.0	2.059	2.471	1.843	6
44	2.039	2.039	2.51	1.804	6
45	2.078	2.02	2.431	1.765	6
46	2.078	1.98	2.275	1.706	6
47	2.078	1.882	2.118	1.745	6
48	2.02	1.824	1.882	1.745	6
49	1.98	1.745	1.725	1.784	6
50	1.941	1.745	1.608	1.882	6
51	1.882	1.745	1.627	2.02	6
52	1.882	1.765	1.627	2.118	6
53	1.824	1.804	1.686	2.176	6
54	1.804	1.824	1.784	2.157	6
55	1.843	1.902	1.922	2.196	6
56	1.863	1.961	2.137	2.176	6
57	1.902	2.0	2.255	2.118	6
58	1.902	2.02	2.392	2.0	6
59	1.98	2.02	2.451	1.882	6
60	2.0	2.059	2.471	1.804	6
61	2.02	2.02	2.49	1.804	6
62	2.078	2.0	2.471	1.784	6
63	2.176	1.941	2.275	1.745	6
64	2.098	1.882	2.098	1.725	6
65	2.0	1.765	1.902	1.745	6
66	1.98	1.725	1.725	1.804	6
67	1.961	1.745	1.627	1.922	6
68	1.922	1.745	1.627	2.039	6
69	1.863	1.745	1.627	2.137	6
70	1.843	1.745	1.686	2.176	6
71	1.824	1.863	1.784	2.235	6
72	1.863	1.863	1.922	2.196	6
73	1.863	1.941	2.137	2.176	6
74	1.902	1.961	2.275	2.098	6
75	1.961	2.02	2.451	2.039	6
76	2.02	2.02	2.471	1.882	6
77	2.059	2.0	2.471	1.804	6
78	2.059	2.0	2.471	1.784	6
79	2.098	1.922	2.412	1.765	6
80	2.118	1.902	2.255	1.706	6
81	2.098	1.824	2.078	1.706	6
82	2.078	1.745	1.863	1.725	6
83	2.02	1.725	1.745	1.804	6
84	1.98	1.706	1.627	1.922	6
85	1.902	1.706	1.588	2.039	6
86	1.902	1.725	1.627	2.098	6
87	1.863	1.784	1.667	2.137	6
88	1.824	1.863	1.784	2.176	6
89	1.824	1.882	1.902	2.216	6
90	1.863	1.961	2.118	2.176	6
91	1.941	2.0	2.294	2.118	6
92	1.941	2.059	2.431	2.02	6
93	2.0	2.039	2.51	1.902	6
94	2.02	2.039	2.471	1.824	6
95	2.02	2.02	2.471	1.765	6
96	2.078	1.961	2.392	1.725	6
97	2.137	1.941	2.275	1.725	6
98	2.059	1.863	2.098	1.745	6
99	2.059	1.765	1.863	1.745	6
100	2.02	1.725	1.706	1.784	6
101	1.941	1.725	1.608	1.902	6
102	1.882	1.706	1.608	2.02	6
103	1.882	1.706	1.608	2.137	6
104	1.882	1.745	1.627	2.137	6
105	1.863	1.824	1.745	2.157	6
106	1.824	1.902	1.863	2.196	6
107	1.824	1.941	2.118	2.176	6
108	1.882	1.961	2.235	2.118	6
109	1.941	2.0	2.392	2.02	6
110	2.0	2.039	2.471	1.922	6
111	2.039	2.059	2.51	1.843	6
112	2.039	2.059	2.49	1.824	6
113	2.059	1.961	2.412	1.804	6
114	2.059	1.941	2.275	1.784	6
115	2.098	1.863	2.098	1.745	6
116	2.039	1.765	1.902	1.765	6
117	1.98	1.765	1.745	1.824	6
118	1.941	1.745	1.647	1.941	6
119	1.902	1.745	1.627	2.078	6
120	1.843	1.765	1.627	2.157	6
121	1.824	1.765	1.667	2.196	6
122	1.804	1.843	1.725	2.216	6
123	1.843	1.882	1.902	2.196	6
124	1.824	1.98	2.137	2.196	6
125	1.882	2.0	2.275	2.137	6
126	1.902	2.059	2.431	2.059	6
127	1.98	2.059	2.471	1.902	6
128	2.039	2.039	2.451	1.843	6
129	2.039	2.02	2.431	1.784	6
130	2.059	1.961	2.431	1.745	6
131	2.098	1.961	2.275	1.765	6
132	2.059	1.902	2.137	1.765	6
133	2.039	1.804	1.882	1.784	6
134	2.02	1.745	1.745	1.804	6
135	1.922	1.745	1.627	1.961	6
136	1.902	1.765	1.647	2.078	6
137	1.902	1.745	1.627	2.137	6
138	1.824	1.784	1.647	2.176	6
139	1.804	1.824	1.765	2.176	6
140	1.882	1.922	1.922	2.216	6
141	1.863	1.961	2.118	2.176	6
142	1.941	2.02	2.275	2.118	6
143	1.961	2.039	2.431	2.039	6
144	2.02	2.039	2.471	1.922	6
145	2.039	2.039	2.451	1.824	6
146	2.078	2.0	2.431	1.765	6
147	2.118	1.961	2.373	1.745	6
148	2.118	1.941	2.294	1.725	6
149	2.118	1.843	2.078	1.725	6
150	2.059	1.765	1.843	1.725	6
151	2.0	1.706	1.706	1.784	6
152	1.941	1.686	1.569	1.922	6
153	1.941	1.725	1.588	2.059	6
154	1.941	1.765	1.608	2.137	6
155	1.863	1.765	1.647	2.137	6
