time	channel1	channel2	channel3	channel4	class
0	2.216	2.118	2.118	1.627	5
1	2.098	2.078	2.157	1.608	5
2	2.549	2.0	2.137	1.627	5
3	2.412	2.235	2.137	1.627	5
4	2.314	2.235	2.157	1.627	5
5	2.275	2.137	2.176	1.608	5
6	2.314	1.98	2.235	1.667	5
7	2.412	2.196	2.235	1.667	5
8	2.373	2.176	2.314	1.667	5
9	2.235	1.961	2.235	1.667	5
10	2.196	1.98	2.255	1.627	5
11	2.255	2.216	2.216	1.647	5
12	2.157	2.235	2.196	1.667	5
13	2.157	2.078	2.157	1.667	5
14	2.196	2.176	2.118	1.667	5
15	2.294	2.235	2.196	1.647	5
16	2.255	2.059	2.255	1.667	5
17	2.118	2.118	2.275	1.647	5
18	2.118	2.02	2.275	1.647	5
19	2.176	1.941	2.196	1.647	5
20	1.902	2.216	2.118	1.647	5
21	1.824	2.373	2.098	1.647	5
22	2.02	2.235	2.176	1.667	5
23	2.118	2.255	2.216	1.706	5
24	2.157	2.431	2.137	1.647	5
25	2.0	2.176	2.176	1.686	5
26	1.98	2.02	2.255	1.647	5
27	2.059	2.039	2.235	1.647	5
28	2.098	2.137	2.176	1.647	5
29	2.137	2.157	2.118	1.627	5
30	2.078	2.275	2.078	1.647	5
31	2.118	2.235	2.078	1.647	5
32	2.157	2.255	2.039	1.647	5
33	2.098	2.235	2.039	1.627	5
34	2.059	2.157	2.039	1.608	5
35	2.176	2.098	2.098	1.608	5
36	2.157	2.0	2.118	1.627	5
37	2.078	2.275	2.059	1.647	5
38	2.137	2.294	2.157	1.667	5
39	2.333	2.216	2.196	1.667	5
40	2.471	2.235	2.255	1.647	5
41	2.373	2.216	2.176	1.647	5
42	2.118	2.157	2.137	1.608	5
43	2.098	2.137	2.157	1.608	5
44	1.941	2.118	2.196	1.627	5
45	1.882	2.098	2.216	1.627	5
46	2.0	2.059	2.176	1.647	5
47	2.039	2.098	2.176	1.608	5
48	2.0	2.137	2.196	1.647	5
49	2.137	2.196	2.255	1.667	5
50	2.176	1.98	2.235	1.647	5
51	2.176	2.078	2.196	1.627	5
52	2.078	2.118	2.294	1.647	5
53	2.353	1.941	2.255	1.647	5
54	2.353	2.176	2.157	1.647	5
55	2.235	2.137	2.137	1.647	5
56	2.333	2.137	2.137	1.608	5
57	2.235	2.176	2.216	1.588	5
58	2.118	2.255	2.235	1.608	5
59	2.118	2.078	2.235	1.608	5
60	2.137	2.039	2.255	1.667	5
61	2.118	1.98	2.216	1.627	5
62	2.137	2.118	2.176	1.608	5
63	2.235	2.137	2.176	1.627	5
64	2.176	2.216	2.137	1.647	5
65	2.216	2.235	2.157	1.627	5
66	2.275	2.333	2.196	1.667	5
67	2.118	2.216	2.157	1.647	5
68	2.098	2.157	2.157	1.627	5
69	2.118	2.176	2.157	1.608	5
70	2.373	2.137	2.137	1.608	5
71	2.196	2.451	2.137	1.608	5
72	2.0	2.235	2.157	1.608	5
73	2.02	2.196	2.176	1.608	5
74	2.039	2.196	2.137	1.588	5
75	2.294	2.216	2.196	1.667	5
76	2.333	2.176	2.176	1.608	5
77	2.255	2.137	2.196	1.608	5
78	2.255	2.039	2.294	1.627	5
79	2.353	2.059	2.333	1.588	5
80	2.353	2.098	2.294	1.608	5
81	2.216	2.098	2.255	1.647	5
82	2.216	2.216	2.235	1.686	5
83	2.118	2.196	2.098	1.667	5
84	2.333	2.078	2.02	1.627	5
85	2.353	2.294	2.078	1.667	5
86	2.431	2.176	2.275	1.647	5
87	2.471	1.804	2.294	1.647	5
88	2.353	2.216	2.176	1.627	5
89	2.314	2.275	2.137	1.627	5
90	2.235	2.196	2.157	1.627	5
91	2.235	2.078	2.137	1.627	5
92	2.216	2.216	2.098	1.627	5
93	2.098	2.098	2.137	1.667	5
94	2.118	2.098	2.078	1.627	5
95	1.784	2.137	2.098	1.608	5
96	1.765	2.059	2.118	1.627	5
97	1.882	2.176	2.255	1.667	5
98	2.02	2.039	2.294	1.647	5
99	2.098	2.098	2.294	1.647	5
100	2.196	2.235	2.255	1.667	5
101	2.353	2.137	2.157	1.667	5
102	2.216	2.275	2.098	1.627	5
103	2.039	2.235	2.118	1.608	5
104	2.314	1.667	2.255	1.608	5
105	2.235	1.98	2.294	1.627	5
106	2.137	2.196	2.235	1.627	5
107	2.255	2.196	2.137	1.588	5
108	2.431	2.353	2.059	1.588	5
109	2.255	2.275	2.118	1.588	5
110	2.098	1.98	2.255	1.588	5
111	2.157	2.039	2.353	1.647	5
112	2.157	2.098	2.314	1.686	5
113	2.235	2.176	2.196	1.647	5
114	2.255	2.098	2.098	1.647	5
115	2.412	2.294	2.059	1.667	5
116	2.412	2.51	2.059	1.627	5
117	2.294	2.333	2.098	1.627	5
118	2.333	2.078	2.157	1.647	5
119	2.235	2.078	2.216	1.647	5
120	2.059	2.196	2.196	1.627	5
