time	channel1	channel2	channel3	channel4	class
0	1.882	1.941	2.098	2.039	6
1	2.02	1.902	2.078	2.0	6
2	2.059	1.941	2.098	2.078	6
3	2.02	1.941	2.02	2.02	6
4	1.98	1.863	2.059	2.039	6
5	2.02	1.882	2.039	2.0	6
6	2.02	1.863	2.059	2.0	6
7	2.02	1.863	2.059	1.961	6
8	2.0	1.882	2.078	2.0	6
9	1.961	1.902	2.039	1.961	6
10	1.902	1.902	2.02	1.98	6
11	1.902	1.843	2.118	2.0	6
12	1.922	1.922	2.098	1.98	6
13	1.941	1.941	2.098	1.98	6
14	1.902	1.922	2.059	2.02	6
15	1.922	1.941	2.059	2.0	6
16	1.902	1.961	2.059	2.02	6
17	1.863	1.941	2.078	2.039	6
18	1.98	1.882	2.098	2.039	6
19	2.039	1.98	2.098	2.078	6
20	2.078	1.922	2.039	2.0	6
21	2.0	1.863	2.02	2.0	6
22	2.059	1.824	2.059	1.98	6
23	2.039	1.863	2.02	2.02	6
24	2.02	1.863	2.098	1.941	6
25	2.039	1.824	2.078	1.961	6
26	2.0	1.824	2.137	1.98	6
27	1.961	1.824	2.118	1.941	6
28	1.941	1.863	2.059	2.0	6
29	1.902	1.902	2.078	1.961	6
30	1.902	1.922	2.078	1.941	6
31	1.922	1.941	2.059	2.0	6
32	1.922	1.961	2.078	1.98	6
33	1.922	1.98	2.098	2.02	6
34	1.941	1.98	2.098	1.98	6
35	1.98	2.0	2.098	2.0	6
36	1.98	1.922	2.137	1.98	6
37	2.02	1.922	2.059	2.059	6
38	2.039	1.902	2.02	1.98	6
39	2.059	1.863	2.02	1.98	6
40	2.059	1.882	2.039	1.961	6
41	2.0	1.882	2.078	1.941	6
42	2.039	1.902	2.137	1.961	6
43	2.0	1.863	2.176	1.902	6
44	2.02	1.902	2.137	1.961	6
45	1.98	1.922	2.118	1.961	6
46	1.922	1.941	2.078	1.961	6
47	1.922	1.941	2.078	1.941	6
48	1.922	1.961	2.078	2.0	6
49	1.961	1.941	2.078	2.02	6
50	1.961	1.98	2.078	2.02	6
51	1.902	1.941	2.078	2.0	6
52	2.02	1.902	2.118	2.02	6
53	1.961	1.882	2.059	2.059	6
54	2.059	1.882	2.039	2.0	6
55	2.0	1.882	2.059	2.02	6
56	2.078	1.922	2.02	2.0	6
57	2.0	1.863	2.078	1.961	6
58	1.98	1.882	2.059	1.961	6
59	2.0	1.843	2.059	1.98	6
60	2.0	1.843	2.039	2.059	6
61	2.0	1.922	2.039	1.941	6
62	1.941	1.863	2.078	2.0	6
63	1.863	1.941	2.078	1.961	6
64	1.882	1.941	2.078	1.961	6
65	1.902	1.98	2.118	2.0	6
66	1.922	1.941	2.098	2.02	6
67	1.902	1.98	2.098	2.039	6
68	1.863	1.961	2.137	2.02	6
69	2.0	1.843	2.118	2.078	6
70	2.0	1.961	2.176	2.078	6
71	2.059	1.941	2.059	2.039	6
72	2.02	1.882	2.039	2.02	6
73	2.039	1.882	2.039	2.0	6
74	2.059	1.863	2.039	2.0	6
75	2.02	1.824	2.059	1.922	6
76	2.0	1.843	2.059	1.98	6
77	2.0	1.863	2.137	1.882	6
78	2.02	1.843	2.098	1.941	6
79	1.863	1.882	2.059	1.941	6
80	1.863	1.902	2.039	1.98	6
81	1.941	1.941	2.098	1.961	6
82	1.902	1.941	2.078	2.0	6
83	1.961	1.961	2.059	1.961	6
84	1.882	1.941	2.118	1.961	6
85	1.941	1.961	2.118	2.059	6
86	2.0	2.0	2.02	2.059	6
87	1.961	1.961	2.157	2.078	6
88	2.059	1.882	2.039	2.059	6
89	2.0	1.863	2.039	1.961	6
90	2.02	1.902	2.039	2.02	6
91	2.02	1.922	2.059	2.02	6
92	2.039	1.843	2.098	1.961	6
93	2.02	1.843	2.059	1.961	6
94	2.039	1.843	2.059	2.059	6
95	1.824	1.902	2.078	1.961	6
96	1.902	1.863	2.137	1.961	6
97	1.902	1.902	2.078	1.98	6
98	1.863	1.922	2.078	1.98	6
99	1.922	1.961	2.078	2.039	6
100	1.922	1.961	2.078	2.0	6
101	1.922	2.0	2.118	2.02	6
102	1.882	1.961	2.137	2.039	6
103	1.902	2.059	2.078	2.059	6
104	1.98	2.0	2.098	2.078	6
105	2.078	1.961	2.078	2.02	6
106	2.0	1.863	2.02	2.039	6
107	2.039	1.882	2.059	1.98	6
108	2.059	1.843	2.039	1.961	6
109	2.0	1.902	2.078	1.961	6
110	2.02	1.863	2.137	1.98	6
111	1.961	1.843	2.078	2.078	6
112	1.961	1.882	2.098	1.98	6
113	1.902	1.902	2.118	2.02	6
114	1.882	1.922	2.059	1.941	6
115	1.882	1.922	2.059	2.0	6
116	1.902	1.941	2.059	1.98	6
117	1.941	1.98	2.059	1.941	6
118	1.863	1.98	2.118	2.0	6
119	1.922	1.941	2.098	2.0	6
120	2.0	1.863	2.118	2.059	6
121	2.039	1.961	2.157	2.098	6
122	2.078	1.922	1.98	2.039	6
123	2.039	1.902	2.02	1.98	6
124	2.059	1.863	2.039	1.98	6
125	2.039	1.863	2.02	1.98	6
126	2.02	1.882	2.039	1.941	6
127	1.98	1.843	2.078	1.941	6
128	1.98	1.882	2.059	1.882	6
129	2.02	1.882	2.078	2.039	6
130	1.98	1.922	2.118	2.0	6
131	1.882	1.902	2.078	1.98	6
132	1.882	1.961	2.078	1.941	6
133	1.922	1.941	2.078	1.961	6
134	1.922	1.941	2.078	2.0	6
135	1.922	1.941	2.118	1.98	6
136	1.961	1.941	2.059	2.0	6
137	1.98	1.882	2.02	2.02	6
138	2.039	1.922	2.157	1.98	6
139	2.059	1.941	2.039	2.059	6
140	2.059	1.882	2.02	2.0	6
141	2.059	1.882	2.039	1.941	6
142	2.039	1.863	2.039	1.941	6
143	2.0	1.804	2.039	1.922	6
144	2.02	1.824	2.059	1.922	6
145	2.02	1.843	2.137	2.039	6
146	2.02	1.922	2.078	1.922	6
147	1.941	1.922	2.118	1.98	6
148	1.882	1.902	2.078	1.922	6
149	1.922	1.922	2.098	1.961	6
150	1.902	1.941	2.059	2.0	6
151	1.941	1.98	2.059	1.961	6
152	1.902	1.98	2.098	2.039	6
153	1.882	1.98	2.118	2.0	6
154	1.863	2.039	2.0	2.0	6
155	1.902	2.039	2.157	2.02	6
156	1.98	1.941	2.078	2.039	6
157	1.941	1.902	2.059	2.02	6
158	1.98	1.922	2.059	1.98	6
159	2.0	1.882	2.059	1.98	6
160	1.98	1.902	2.059	1.961	6
161	1.941	1.863	2.059	1.961	6
162	1.941	1.863	2.059	1.902	6
163	1.961	1.863	2.118	1.882	6
164	1.922	1.882	2.098	1.98	6
165	1.863	1.961	2.118	1.98	6
166	1.863	1.941	2.078	1.98	6
167	1.902	1.961	2.059	1.98	6
168	1.902	1.98	2.078	2.02	6
169	1.882	1.98	2.078	2.059	6
170	1.922	1.961	2.118	2.039	6
171	1.902	2.02	2.02	2.098	6
172	2.02	1.961	2.098	2.039	6
173	2.02	1.941	2.039	2.039	6
174	2.0	1.882	2.039	2.02	6
175	2.02	1.902	2.039	2.02	6
176	2.0	1.863	2.02	2.0	6
177	2.02	1.863	2.02	1.98	6
178	1.961	1.882	2.039	1.98	6
179	1.961	1.863	2.078	1.941	6
180	1.902	1.804	2.059	1.98	6
181	1.922	1.863	2.059	1.961	6
182	1.882	1.922	2.078	1.961	6
183	1.902	1.941	2.059	1.98	6
184	1.902	1.941	2.078	1.98	6
185	1.941	1.922	2.059	2.02	6
186	1.902	1.961	2.118	2.039	6
187	1.941	1.922	2.098	2.039	6
188	1.961	1.98	2.078	2.039	6
189	1.98	1.961	2.137	2.02	6
190	2.039	1.902	2.039	1.98	6
191	2.02	1.863	2.039	2.0	6
192	2.039	1.863	2.039	1.98	6
193	2.039	1.882	2.059	1.961	6
194	2.02	1.863	2.059	1.961	6
195	2.039	1.824	2.059	1.941	6
196	2.039	1.843	2.02	2.02	6
197	2.039	1.882	2.078	2.02	6
198	1.922	1.882	2.078	1.961	6
199	1.882	1.863	2.059	1.941	6
200	1.902	1.902	2.078	1.961	6
201	1.902	1.98	2.078	1.98	6
202	1.922	1.922	2.098	2.0	6
203	1.922	1.941	2.118	2.02	6
204	1.941	1.941	2.098	2.02	6
205	1.961	1.882	2.255	1.98	6
206	2.039	2.0	2.157	2.039	6
207	2.039	1.941	2.059	2.02	6
208	2.02	1.882	2.02	2.0	6
209	2.039	1.882	2.078	1.98	6
210	2.039	1.843	2.039	1.941	6
211	2.0	1.843	2.059	1.961	6
212	1.961	1.863	2.098	1.961	6
213	1.98	1.863	2.039	1.882	6
214	1.961	1.843	2.098	1.941	6
215	1.98	1.863	2.098	1.961	6
216	1.863	1.902	2.118	1.941	6
217	1.902	1.961	2.059	1.98	6
218	1.882	1.941	2.078	1.98	6
219	1.922	1.961	2.078	1.98	6
220	1.902	1.98	2.078	2.02	6
221	1.863	1.961	2.118	2.0	6
222	1.922	1.941	2.0	2.02	6
223	1.922	1.882	2.157	2.039	6
224	2.039	1.922	2.039	2.0	6
225	2.0	1.882	2.039	2.02	6
226	2.039	1.902	2.039	2.02	6
227	2.02	1.882	2.059	1.961	6
228	1.98	1.863	2.078	1.961	6
229	1.922	1.882	2.098	1.922	6
230	1.961	1.863	2.137	1.922	6
231	2.039	1.882	2.098	2.039	6
232	1.941	1.902	2.078	1.941	6
233	1.863	1.902	2.059	1.961	6
234	1.882	1.941	2.078	1.941	6
235	1.882	1.941	2.078	1.98	6
236	1.922	1.941	2.078	2.02	6
237	1.922	1.922	2.098	1.98	6
238	1.922	1.961	2.137	2.02	6
239	1.941	1.902	2.216	1.98	6
240	1.961	1.941	2.039	2.0	6
241	2.059	1.941	2.098	2.059	6
242	2.059	1.882	2.039	2.0	6
243	2.0	1.902	2.039	1.98	6
244	2.0	1.882	2.078	1.98	6
245	2.02	1.882	2.059	1.961	6
246	2.02	1.882	2.098	2.02	6
247	2.02	1.882	2.078	1.882	6
248	1.961	1.902	2.098	1.961	6
249	1.98	1.882	2.098	2.0	6
250	1.863	1.902	2.078	1.961	6
251	1.922	1.941	2.078	1.98	6
252	1.882	1.98	2.059	1.98	6
253	1.941	1.98	2.098	2.0	6
254	1.922	1.98	2.118	2.02	6
255	1.922	1.961	2.137	2.039	6
256	2.0	1.941	2.137	2.059	6
257	2.02	1.961	2.118	2.02	6
258	2.059	1.961	2.059	2.039	6
259	2.039	1.882	2.039	2.0	6
260	2.039	1.882	2.02	1.98	6
261	2.02	1.902	2.039	1.961	6
262	2.02	1.863	2.098	2.0	6
263	1.98	1.863	2.059	1.98	6
264	2.0	1.882	2.137	1.902	6
265	1.961	1.863	2.118	1.922	6
266	2.0	1.882	2.098	1.961	6
267	1.863	1.922	2.098	1.98	6
268	1.882	1.941	2.078	2.0	6
269	1.882	1.98	2.098	2.059	6
270	1.922	1.961	2.078	2.02	6
271	1.882	1.98	2.157	2.02	6
272	1.902	1.98	2.118	2.039	6
273	1.961	1.922	2.098	2.059	6
274	1.941	1.922	2.137	2.039	6
275	2.0	1.98	2.039	2.059	6
276	2.0	1.882	2.059	2.039	6
277	2.039	1.882	2.0	2.02	6
278	2.039	1.882	2.059	1.961	6
279	2.02	1.863	2.039	1.941	6
280	1.98	1.863	2.059	2.0	6
281	2.02	1.882	2.059	1.902	6
282	2.02	1.843	2.078	1.961	6
283	1.98	1.902	2.098	1.941	6
