time	channel1	channel2	channel3	channel4	class
0	1.745	2.059	1.961	1.941	2
1	1.667	2.039	1.961	1.961	2
2	1.725	2.039	1.98	2.02	2
3	1.863	2.02	1.961	2.02	2
4	1.922	2.02	1.922	1.882	2
5	1.863	2.039	1.922	1.882	2
6	1.961	2.039	1.941	1.863	2
7	1.98	2.039	1.961	1.922	2
8	2.02	2.039	1.98	1.941	2
9	2.059	2.039	1.98	2.02	2
10	2.118	2.02	1.961	1.922	2
11	1.961	2.039	1.941	1.902	2
12	1.843	2.039	1.941	2.0	2
13	1.902	2.098	1.98	2.078	2
14	1.863	2.039	1.961	1.961	2
15	1.745	2.0	1.961	1.961	2
16	1.706	2.02	1.922	1.961	2
17	1.706	2.039	1.941	1.922	2
18	1.667	2.039	1.922	1.941	2
19	1.725	2.02	1.941	2.059	2
20	1.863	2.039	1.922	2.0	2
21	1.843	2.0	1.941	1.843	2
22	1.843	2.02	1.922	1.922	2
23	1.961	2.039	1.941	1.882	2
24	2.0	2.039	1.941	1.882	2
25	2.039	2.059	1.961	1.941	2
26	2.078	2.039	1.961	2.039	2
27	2.157	2.039	1.941	1.98	2
28	2.0	2.02	1.922	1.902	2
29	1.882	2.02	1.922	1.98	2
30	1.941	2.098	1.941	2.078	2
31	1.922	2.078	1.98	1.961	2
32	1.765	2.0	1.961	1.922	2
33	1.725	2.0	1.922	1.961	2
34	1.725	2.059	1.922	1.941	2
35	1.647	2.039	1.941	1.98	2
36	1.784	2.098	1.941	2.157	2
37	1.941	2.039	1.961	2.0	2
38	1.902	2.02	1.941	1.882	2
39	1.882	2.039	1.922	1.882	2
40	1.922	2.02	1.941	1.843	2
41	1.98	2.02	1.941	1.902	2
42	2.02	2.02	1.961	1.902	2
43	2.059	2.02	1.961	2.02	2
44	2.137	2.039	1.961	2.0	2
45	1.98	2.02	1.941	1.98	2
46	1.902	2.039	1.941	2.039	2
47	1.941	2.078	1.98	2.059	2
48	1.902	2.059	2.0	1.941	2
49	1.745	1.98	1.98	1.941	2
50	1.706	2.02	1.941	2.02	2
51	1.706	2.039	1.922	1.941	2
52	1.667	2.039	1.941	1.941	2
53	1.706	2.039	1.941	2.02	2
54	1.824	2.02	1.941	2.0	2
55	1.882	2.0	1.941	1.843	2
56	1.882	2.078	1.961	1.882	2
57	1.941	2.039	2.0	1.863	2
58	1.941	2.02	2.0	1.941	2
59	2.0	2.039	1.961	2.0	2
60	2.078	2.059	1.961	2.039	2
61	2.176	2.039	1.941	1.922	2
62	1.941	2.039	1.941	1.902	2
63	1.843	2.059	2.0	1.961	2
64	1.961	2.118	2.0	2.039	2
65	1.902	2.078	2.02	1.961	2
66	1.765	2.02	1.98	1.98	2
67	1.725	2.039	1.941	1.961	2
68	1.686	2.039	1.902	1.941	2
69	1.647	2.039	1.922	1.961	2
70	1.765	2.078	1.941	2.039	2
71	1.902	2.059	1.98	1.98	2
72	1.902	2.0	1.98	1.824	2
