time	channel1	channel2	channel3	channel4	class
0	2.157	2.137	2.098	2.137	3
1	2.137	2.255	2.098	2.137	3
2	2.078	2.353	2.137	2.157	3
3	1.902	2.196	2.118	2.137	3
4	1.882	2.059	2.098	2.118	3
5	2.039	1.98	2.196	2.118	3
6	2.314	1.882	2.196	2.137	3
7	2.196	2.157	2.137	2.137	3
8	2.196	2.216	2.098	2.118	3
9	2.314	2.118	2.118	2.098	3
10	2.137	1.863	2.196	2.098	3
11	2.098	2.039	2.216	2.098	3
12	1.98	1.843	2.196	2.078	3
13	1.902	1.765	2.137	2.078	3
14	2.0	2.137	2.157	2.098	3
15	1.922	2.0	2.255	2.118	3
16	1.922	2.039	2.275	2.118	3
17	2.059	1.843	2.255	2.137	3
18	2.098	1.843	2.216	2.137	3
19	2.196	2.059	2.157	2.137	3
20	2.196	2.255	2.078	2.137	3
21	2.157	2.373	2.039	2.118	3
22	2.353	2.0	2.118	2.118	3
23	2.392	1.882	2.176	2.137	3
24	2.549	2.275	2.137	2.137	3
25	2.373	2.294	2.157	2.137	3
26	2.333	2.235	2.098	2.137	3
27	2.392	2.294	2.137	2.118	3
28	2.196	2.353	2.118	2.118	3
29	2.157	2.216	2.098	2.118	3
30	2.294	2.02	2.078	2.118	3
31	2.275	2.137	2.118	2.118	3
32	2.02	2.157	2.098	2.137	3
33	2.118	2.216	2.039	2.137	3
34	2.196	2.235	2.059	2.137	3
35	2.02	2.333	2.098	2.137	3
36	2.059	2.098	2.137	2.137	3
37	2.02	1.98	2.118	2.118	3
38	2.0	2.0	2.059	2.098	3
39	2.098	2.02	2.118	2.118	3
40	2.451	2.235	2.157	2.137	3
41	2.294	2.216	2.137	2.118	3
42	2.196	1.863	2.098	2.098	3
43	2.235	2.0	2.118	2.078	3
44	2.176	2.059	2.157	2.098	3
45	2.039	2.059	2.176	2.098	3
46	2.078	2.078	2.255	2.098	3
47	2.098	1.882	2.373	2.098	3
48	2.098	1.686	2.392	2.118	3
49	2.137	1.706	2.196	2.137	3
50	2.216	2.0	2.039	2.137	3
51	2.118	2.196	2.02	2.137	3
52	1.98	2.176	2.059	2.137	3
53	2.373	2.412	2.216	2.137	3
54	2.314	2.451	2.275	2.137	3
55	2.196	2.078	2.157	2.118	3
56	2.392	1.863	2.157	2.118	3
57	2.373	1.725	2.157	2.137	3
58	2.569	2.216	2.059	2.137	3
59	2.431	2.392	2.039	2.098	3
60	2.196	2.373	2.039	2.098	3
61	2.196	2.353	2.039	2.098	3
62	2.255	2.647	2.039	2.118	3
63	2.176	2.451	2.098	2.118	3
64	2.098	2.098	2.137	2.098	3
65	2.078	1.98	2.157	2.118	3
66	2.02	2.02	2.098	2.137	3
67	2.098	2.176	2.039	2.137	3
68	2.255	2.49	2.059	2.157	3
69	2.078	2.255	2.137	2.137	3
70	2.059	2.059	2.137	2.137	3
71	2.059	2.0	2.078	2.157	3
72	2.059	2.118	2.059	2.118	3
73	2.275	2.294	2.118	2.118	3
74	2.255	1.902	2.176	2.118	3
75	2.255	2.118	2.157	2.118	3
76	2.216	2.137	2.118	2.098	3
77	2.196	1.961	2.098	2.078	3
78	2.275	2.118	2.078	2.098	3
79	2.118	2.137	2.098	2.098	3
80	2.078	2.039	2.118	2.078	3
81	2.039	2.137	2.118	2.078	3
82	1.922	2.02	2.157	2.118	3
83	1.961	1.902	2.137	2.118	3
84	2.02	1.941	2.118	2.118	3
85	2.059	2.0	2.137	2.118	3
86	2.039	1.98	2.118	2.118	3
87	2.118	2.118	2.118	2.137	3
88	2.275	2.137	2.118	2.137	3
89	2.078	2.118	2.098	2.118	3
90	2.275	2.059	2.157	2.137	3
91	2.196	1.804	2.157	2.137	3
92	2.294	2.176	2.137	2.118	3
93	2.255	2.49	2.137	2.118	3
94	2.196	2.0	2.196	2.098	3
95	2.157	1.824	2.196	2.098	3
96	2.039	1.941	2.176	2.098	3
97	2.118	2.0	2.137	2.098	3
98	2.196	2.0	2.176	2.098	3
99	2.235	2.137	2.157	2.118	3
100	2.078	2.078	2.176	2.137	3
101	2.176	2.0	2.176	2.137	3
102	2.294	2.078	2.176	2.137	3
103	2.275	2.02	2.294	2.137	3
104	2.157	1.863	2.333	2.137	3
105	2.0	1.941	2.216	2.157	3
106	1.863	2.196	2.098	2.137	3
107	2.098	2.392	2.157	2.157	3
108	2.098	1.922	2.137	2.157	3
109	2.333	2.373	2.039	2.157	3
110	2.039	2.235	2.118	2.118	3
111	2.0	1.902	2.216	2.098	3
112	2.118	1.922	2.235	2.098	3
113	2.118	2.078	2.137	2.098	3
114	2.118	2.255	2.039	2.098	3
115	1.941	2.333	2.039	2.098	3
116	1.961	2.353	2.098	2.118	3
117	2.098	2.078	2.098	2.118	3
118	2.059	2.039	2.078	2.118	3
119	2.294	2.176	2.078	2.118	3
120	2.196	2.216	2.059	2.118	3
121	2.157	2.314	2.098	2.137	3
122	2.157	2.294	2.137	2.137	3
123	2.118	2.216	2.157	2.118	3
124	2.235	2.078	2.216	2.118	3
125	2.039	1.922	2.196	2.157	3
126	2.353	2.294	2.118	2.137	3
127	2.157	2.294	2.059	2.118	3
128	2.275	2.412	2.078	2.118	3
129	2.314	2.118	2.176	2.118	3
130	2.431	2.157	2.333	2.118	3
131	2.333	2.02	2.353	2.118	3
132	2.02	1.765	2.196	2.118	3
133	1.941	2.098	2.039	2.137	3
134	2.078	2.373	2.02	2.137	3
135	2.098	2.314	2.078	2.137	3
136	2.157	2.157	2.255	2.137	3
137	2.216	1.922	2.235	2.137	3
138	2.275	2.039	2.137	2.137	3
139	2.039	2.078	2.059	2.137	3
140	2.098	2.176	2.02	2.118	3
141	2.353	2.235	2.039	2.118	3
142	2.02	2.02	2.078	2.137	3
143	2.098	2.235	2.078	2.118	3
144	2.02	2.176	2.078	2.098	3
145	2.0	2.196	2.137	2.098	3
146	2.0	1.686	2.412	2.098	3
147	2.118	1.686	2.314	2.098	3
148	2.118	2.039	2.059	2.098	3
149	1.961	2.216	2.0	2.098	3
150	2.078	2.275	2.0	2.118	3
151	2.392	2.451	2.039	2.118	3
152	2.157	2.078	2.176	2.118	3
153	2.078	1.706	2.216	2.118	3
154	2.0	1.824	2.196	2.118	3
155	2.02	2.118	2.137	2.137	3
156	2.078	2.196	2.059	2.118	3
157	2.137	2.176	2.02	2.118	3
158	2.235	2.235	2.059	2.118	3
159	1.941	2.118	2.098	2.118	3
160	1.961	2.216	2.078	2.118	3
161	2.0	2.627	2.059	2.098	3
162	1.902	2.196	2.078	2.098	3
163	1.863	2.078	2.098	2.098	3
164	2.059	2.314	2.098	2.098	3
165	2.118	2.137	2.078	2.098	3
166	2.137	2.176	2.078	2.098	3
167	2.137	2.235	2.137	2.118	3
168	2.157	2.039	2.137	2.137	3
169	2.118	1.863	2.157	2.118	3
170	2.098	2.02	2.137	2.137	3
171	1.941	2.098	2.137	2.137	3
172	2.176	2.137	2.157	2.157	3
173	2.176	2.059	2.137	2.137	3
174	2.275	2.118	2.098	2.118	3
175	2.275	1.941	2.235	2.118	3
176	2.294	1.784	2.353	2.137	3
177	2.078	2.216	2.216	2.137	3
178	1.824	2.039	2.118	2.118	3
179	1.824	2.02	2.098	2.098	3
180	2.02	2.02	2.098	2.098	3
181	2.098	1.882	2.176	2.098	3
182	2.275	2.118	2.235	2.098	3
183	2.137	2.157	2.235	2.118	3
184	2.157	2.078	2.255	2.118	3
185	2.118	1.686	2.216	2.118	3
186	2.157	1.765	2.137	2.137	3
187	2.176	1.941	2.059	2.118	3
188	2.157	2.51	2.039	2.118	3
189	2.078	2.412	2.098	2.118	3
190	2.137	2.294	2.078	2.118	3
191	2.02	1.902	2.098	2.098	3
192	2.176	1.804	2.137	2.098	3
193	2.039	1.824	2.137	2.118	3
194	2.098	2.275	2.078	2.098	3
195	1.941	2.333	2.078	2.098	3
196	1.941	2.333	2.078	2.078	3
197	1.961	2.255	2.098	2.098	3
198	2.176	2.373	2.098	2.098	3
199	2.216	2.235	2.078	2.078	3
200	2.137	2.157	2.078	2.098	3
201	2.176	2.098	2.137	2.118	3
202	2.176	2.059	2.176	2.137	3
203	2.039	2.059	2.176	2.137	3
204	2.02	2.137	2.176	2.157	3
205	1.882	2.137	2.176	2.176	3
206	2.0	2.294	2.118	2.176	3
207	2.176	2.392	2.078	2.157	3
208	2.098	2.196	2.098	2.137	3
209	2.255	2.176	2.157	2.137	3
210	2.118	1.902	2.255	2.157	3
211	2.098	2.235	2.235	2.157	3
212	2.118	2.314	2.118	2.118	3
213	1.843	2.039	2.118	2.118	3
214	1.863	2.157	2.118	2.118	3
215	2.137	2.235	2.118	2.118	3
216	2.275	2.176	2.098	2.118	3
217	2.216	2.118	2.118	2.118	3
218	2.157	2.098	2.157	2.118	3
219	2.196	2.039	2.157	2.137	3
220	2.039	2.039	2.118	2.137	3
221	2.137	2.176	2.098	2.137	3
222	2.157	2.235	2.137	2.137	3
223	2.078	2.157	2.176	2.137	3
224	2.059	2.039	2.176	2.137	3
225	2.098	2.118	2.118	2.118	3
226	2.314	2.196	2.118	2.118	3
227	2.294	2.039	2.137	2.137	3
228	2.0	2.196	2.157	2.137	3
229	2.176	2.333	2.118	2.118	3
230	2.078	1.922	2.176	2.078	3
231	2.255	1.824	2.176	2.098	3
232	2.098	2.275	2.137	2.098	3
233	1.941	2.137	2.137	2.098	3
234	1.902	1.941	2.118	2.098	3
235	1.98	2.059	2.176	2.118	3
236	2.059	2.039	2.157	2.118	3
237	2.039	1.98	2.098	2.118	3
238	1.98	2.02	2.098	2.118	3
239	1.843	1.941	2.137	2.118	3
240	1.941	2.137	2.196	2.137	3
241	2.039	2.235	2.176	2.137	3
242	2.216	2.157	2.078	2.137	3
243	2.314	2.137	2.118	2.118	3
244	2.314	2.039	2.118	2.118	3
245	2.02	2.294	2.098	2.098	3
246	1.941	2.157	2.137	2.098	3
247	2.02	2.137	2.118	2.078	3
248	2.118	2.039	2.118	2.078	3
249	2.176	2.275	2.118	2.078	3
250	2.059	2.314	2.098	2.078	3
251	2.02	2.176	2.078	2.078	3
252	2.059	2.098	2.176	2.098	3
253	2.039	2.039	2.176	2.098	3
254	2.118	1.961	2.137	2.098	3
255	2.098	2.02	2.098	2.118	3
256	2.137	2.275	2.098	2.098	3
257	2.078	2.157	2.118	2.118	3
258	2.078	2.078	2.137	2.118	3
259	2.039	2.216	2.098	2.098	3
260	2.137	2.0	2.196	2.098	3
261	2.02	1.627	2.275	2.118	3
262	1.941	1.902	2.275	2.098	3
263	2.02	1.961	2.235	2.098	3
264	1.961	1.941	2.176	2.098	3
265	2.176	2.059	2.078	2.078	3
266	2.353	2.137	2.118	2.098	3
267	2.176	2.294	2.098	2.078	3
268	2.078	2.039	2.137	2.078	3
269	2.216	1.863	2.255	2.098	3
270	2.039	1.706	2.235	2.118	3
271	2.039	1.941	2.098	2.118	3
272	1.98	2.059	2.098	2.118	3
273	2.098	2.176	2.118	2.137	3
274	2.157	2.294	2.137	2.137	3
275	2.137	2.216	2.078	2.137	3
276	2.039	2.314	2.02	2.118	3
277	2.118	2.392	2.078	2.118	3
278	2.176	1.98	2.118	2.137	3
279	2.157	2.392	2.098	2.118	3
280	2.137	2.255	2.098	2.118	3
281	2.157	2.118	2.098	2.098	3
282	2.157	2.157	2.098	2.098	3
283	2.098	2.314	2.078	2.118	3
284	2.137	2.333	2.059	2.098	3
285	2.039	2.216	2.078	2.098	3
286	2.098	2.157	2.157	2.118	3
287	2.039	2.059	2.157	2.137	3
288	2.118	2.098	2.098	2.137	3
289	2.176	2.176	2.098	2.137	3
290	2.078	2.157	2.118	2.137	3
291	2.118	2.216	2.137	2.157	3
292	1.882	2.157	2.098	2.157	3
293	1.882	2.176	2.078	2.137	3
294	2.137	2.078	2.157	2.137	3
295	2.294	1.824	2.176	2.176	3
296	2.49	2.255	2.157	2.157	3
297	2.412	2.412	2.157	2.157	3
298	2.294	2.176	2.176	2.137	3
299	1.98	2.0	2.118	2.118	3
300	1.824	2.118	2.118	2.118	3
301	2.059	2.059	2.118	2.118	3
302	2.0	2.157	2.078	2.137	3
303	2.02	2.059	2.157	2.137	3
304	2.098	2.02	2.196	2.157	3
305	2.216	2.294	2.176	2.157	3
306	2.118	2.02	2.137	2.157	3
307	2.118	2.059	2.137	2.137	3
308	2.176	2.137	2.137	2.137	3
309	2.176	2.137	2.098	2.137	3
310	2.137	2.137	2.078	2.118	3
311	2.255	2.196	2.137	2.118	3
312	2.235	1.941	2.196	2.118	3
313	2.314	2.137	2.176	2.118	3
314	2.333	2.157	2.137	2.118	3
315	2.196	2.157	2.118	2.098	3
316	2.157	1.922	2.137	2.098	3
317	2.098	2.176	2.098	2.098	3
318	1.784	1.941	2.118	2.098	3
319	1.902	1.961	2.176	2.098	3
320	2.02	2.098	2.196	2.118	3
321	1.902	1.961	2.176	2.137	3
322	2.0	1.902	2.216	2.137	3
323	1.941	1.902	2.137	2.137	3
324	2.02	2.078	2.118	2.137	3
325	1.941	2.059	2.157	2.137	3
326	1.902	2.0	2.196	2.137	3
327	2.157	2.157	2.157	2.118	3
328	2.373	2.157	2.137	2.137	3
329	2.51	2.0	2.118	2.137	3
330	2.412	2.294	2.098	2.118	3
331	2.412	2.294	2.118	2.098	3
332	2.294	2.02	2.157	2.098	3
333	2.255	2.02	2.157	2.098	3
334	2.333	2.353	2.118	2.098	3
335	2.216	2.275	2.098	2.098	3
336	2.059	2.157	2.078	2.098	3
337	2.098	2.176	2.137	2.118	3
338	1.922	2.255	2.137	2.137	3
339	1.98	2.039	2.157	2.137	3
340	2.078	1.922	2.137	2.137	3
341	2.137	2.118	2.118	2.137	3
342	2.098	2.157	2.118	2.137	3
343	1.922	2.137	2.118	2.137	3
344	2.02	2.275	2.059	2.118	3
345	2.196	2.196	2.157	2.118	3
346	2.275	1.98	2.216	2.137	3
347	2.549	2.235	2.176	2.137	3
348	2.392	2.255	2.098	2.118	3
349	2.196	2.078	2.118	2.098	3
350	2.216	1.902	2.176	2.098	3
351	2.196	2.0	2.196	2.098	3
352	2.059	2.137	2.118	2.098	3
353	2.039	2.118	2.098	2.098	3
354	2.137	2.098	2.157	2.137	3
355	1.98	1.961	2.196	2.137	3
356	1.922	1.941	2.137	2.137	3
357	2.02	2.373	2.059	2.137	3
358	2.02	2.314	2.059	2.137	3
359	2.059	2.196	2.098	2.157	3
360	1.922	1.98	2.157	2.137	3
361	2.039	1.922	2.137	2.118	3
362	2.255	2.118	2.137	2.118	3
363	2.216	2.059	2.137	2.137	3
364	2.412	2.373	2.078	2.137	3
365	2.275	2.412	2.059	2.118	3
366	2.118	2.176	2.059	2.098	3
367	1.882	2.0	2.137	2.098	3
368	2.039	2.078	2.137	2.098	3
369	2.137	2.176	2.078	2.098	3
370	2.098	2.216	2.078	2.098	3
371	2.02	2.078	2.137	2.118	3
372	2.137	1.98	2.137	2.118	3
373	2.137	2.235	2.098	2.137	3
374	2.078	1.98	2.118	2.118	3
375	2.118	2.098	2.137	2.118	3
376	2.196	2.118	2.157	2.137	3
377	2.098	2.039	2.137	2.137	3
378	2.157	2.118	2.098	2.118	3
379	2.137	2.098	2.157	2.118	3
380	2.412	1.843	2.196	2.137	3
381	2.471	2.137	2.176	2.118	3
382	2.333	2.275	2.098	2.118	3
383	2.118	2.235	2.098	2.098	3
384	2.098	1.961	2.157	2.098	3
385	2.235	1.961	2.196	2.098	3
386	2.333	2.02	2.118	2.078	3
387	2.314	2.098	2.098	2.078	3
388	2.255	2.216	2.157	2.118	3
389	2.196	2.137	2.137	2.118	3
390	2.118	1.98	2.157	2.118	3
391	2.0	1.863	2.137	2.098	3
392	2.039	2.255	2.118	2.118	3
393	2.039	2.333	2.137	2.137	3
394	1.922	2.157	2.118	2.137	3
395	1.922	2.176	2.098	2.118	3
396	2.039	1.98	2.176	2.118	3
397	2.275	1.961	2.196	2.137	3
398	2.294	2.314	2.157	2.118	3
399	2.176	2.196	2.137	2.118	3
400	2.255	2.255	2.137	2.098	3
401	2.216	2.02	2.157	2.098	3
402	2.255	2.098	2.176	2.098	3
403	2.314	2.275	2.137	2.098	3
404	2.235	2.176	2.078	2.098	3
405	2.196	2.02	2.137	2.118	3
406	2.196	2.078	2.196	2.137	3
407	2.176	2.0	2.196	2.137	3
408	2.216	1.922	2.176	2.118	3
409	2.137	2.02	2.157	2.137	3
410	2.118	2.196	2.157	2.137	3
411	2.039	2.255	2.118	2.137	3
412	2.039	2.137	2.059	2.118	3
413	2.157	2.157	2.098	2.118	3
414	2.196	2.078	2.118	2.137	3
415	2.275	2.373	2.137	2.118	3
416	2.157	2.078	2.196	2.098	3
417	2.02	1.922	2.196	2.098	3
418	1.902	1.824	2.196	2.098	3
419	1.98	2.02	2.196	2.098	3
420	2.0	2.216	2.137	2.098	3
