time	channel1	channel2	channel3	channel4	class
0	2.02	1.824	2.098	1.902	2
1	2.02	1.882	2.098	1.863	2
2	2.059	1.922	2.02	1.804	2
3	2.0	1.941	1.961	1.784	2
4	1.941	1.98	1.922	1.804	2
5	1.922	1.98	1.863	1.824	2
6	1.882	1.98	1.863	1.902	2
7	1.882	1.961	1.902	1.98	2
8	1.863	1.922	1.941	2.0	2
9	1.882	1.902	1.961	2.039	2
10	1.922	1.882	2.02	2.078	2
11	1.922	1.824	2.118	2.098	2
12	1.941	1.824	2.157	2.098	2
13	1.961	1.804	2.196	2.098	2
14	2.0	1.784	2.216	2.0	2
15	2.059	1.804	2.157	1.941	2
16	2.059	1.824	2.137	1.922	2
17	2.059	1.824	2.118	1.922	2
18	2.059	1.863	2.078	1.863	2
19	2.02	1.902	2.02	1.784	2
20	1.961	1.922	1.941	1.765	2
21	1.922	1.961	1.922	1.784	2
22	1.922	1.98	1.882	1.863	2
23	1.882	1.98	1.882	1.961	2
24	1.882	1.961	1.922	2.0	2
25	1.863	1.961	1.941	2.039	2
26	1.824	1.922	2.0	2.078	2
27	1.882	1.863	2.02	2.118	2
28	1.902	1.824	2.137	2.118	2
29	1.98	1.804	2.157	2.098	2
30	1.98	1.804	2.196	2.059	2
31	2.02	1.784	2.216	2.0	2
32	2.039	1.784	2.157	1.961	2
33	2.02	1.804	2.137	1.922	2
34	2.059	1.824	2.137	1.843	2
35	2.118	1.922	2.098	1.863	2
36	2.02	1.941	2.039	1.824	2
37	2.02	1.941	1.922	1.784	2
38	1.961	1.98	1.902	1.784	2
39	1.902	2.039	1.863	1.824	2
40	1.882	1.98	1.882	1.922	2
41	1.882	2.0	1.882	1.98	2
42	1.863	1.961	1.922	2.0	2
43	1.863	1.961	1.941	2.039	2
44	1.863	1.941	2.02	2.098	2
45	1.882	1.843	2.118	2.118	2
46	1.941	1.824	2.118	2.098	2
47	1.98	1.804	2.176	2.059	2
48	2.039	1.784	2.196	1.98	2
49	2.039	1.804	2.157	1.941	2
50	2.039	1.784	2.137	1.922	2
51	2.059	1.804	2.157	1.863	2
52	2.137	1.882	2.078	1.882	2
53	2.078	1.922	2.02	1.804	2
54	2.02	1.922	1.941	1.765	2
55	1.922	1.98	1.922	1.784	2
56	1.863	2.0	1.902	1.863	2
57	1.882	1.98	1.882	1.961	2
58	1.922	1.961	1.902	2.0	2
59	1.902	1.961	1.922	2.02	2
60	1.902	1.922	1.961	2.059	2
61	1.882	1.863	2.039	2.078	2
62	1.863	1.863	2.118	2.137	2
63	1.922	1.804	2.157	2.137	2
64	1.941	1.784	2.196	2.118	2
65	2.0	1.784	2.235	2.039	2
66	2.02	1.784	2.176	1.961	2
67	2.0	1.804	2.176	1.922	2
68	2.02	1.804	2.176	1.902	2
69	1.98	1.882	2.098	1.882	2
70	2.039	1.922	2.039	1.824	2
71	1.941	1.941	1.941	1.804	2
72	1.941	1.961	1.941	1.804	2
73	1.922	1.98	1.882	1.863	2
74	1.863	1.961	1.882	1.941	2
75	1.882	1.98	1.922	2.0	2
76	1.863	1.98	1.961	2.039	2
77	1.882	1.961	2.0	2.098	2
78	1.882	1.922	2.059	2.137	2
79	1.882	1.863	2.137	2.137	2
80	1.961	1.824	2.157	2.118	2
81	1.98	1.804	2.216	2.078	2
82	2.02	1.765	2.216	2.02	2
83	2.02	1.784	2.176	1.961	2
84	2.039	1.804	2.157	1.922	2
85	2.059	1.824	2.176	1.882	2
86	2.118	1.882	2.098	1.882	2
87	2.039	1.902	2.039	1.804	2
88	1.98	1.922	1.941	1.784	2
89	1.961	1.941	1.941	1.804	2
90	1.961	2.0	1.882	1.843	2
91	1.922	2.0	1.882	1.922	2
92	1.922	2.0	1.922	1.98	2
93	1.902	1.941	1.941	2.02	2
94	1.902	1.922	1.98	2.039	2
95	1.863	1.882	2.059	2.078	2
96	1.922	1.824	2.118	2.118	2
97	1.98	1.784	2.118	2.098	2
98	2.02	1.784	2.176	2.039	2
99	2.039	1.784	2.196	2.0	2
100	2.02	1.784	2.176	1.941	2
101	2.02	1.804	2.137	1.941	2
102	2.059	1.824	2.098	1.902	2
103	2.059	1.863	2.059	1.824	2
104	2.039	1.922	2.02	1.784	2
105	1.961	1.922	1.941	1.765	2
106	1.941	1.941	1.922	1.784	2
107	1.922	2.0	1.863	1.863	2
108	1.882	1.98	1.843	1.922	2
109	1.863	1.98	1.902	2.0	2
110	1.863	1.98	1.941	2.039	2
111	1.843	1.961	2.02	2.059	2
112	1.843	1.902	2.02	2.118	2
113	1.882	1.863	2.118	2.137	2
114	1.961	1.804	2.157	2.118	2
115	1.961	1.784	2.176	2.078	2
116	2.02	1.765	2.196	2.0	2
117	2.039	1.784	2.157	1.941	2
118	2.02	1.804	2.157	1.922	2
119	2.02	1.804	2.137	1.882	2
120	2.039	1.882	2.078	1.863	2
121	2.039	1.902	2.02	1.784	2
122	1.98	1.922	1.941	1.784	2
123	1.941	1.922	1.941	1.784	2
124	1.902	1.98	1.863	1.843	2
125	1.863	1.98	1.863	1.902	2
126	1.882	1.961	1.902	2.0	2
127	1.882	1.961	1.941	2.02	2
128	1.902	1.98	2.0	2.059	2
129	1.863	1.863	2.02	2.118	2
130	1.863	1.843	2.118	2.118	2
131	1.941	1.824	2.137	2.098	2
132	1.941	1.784	2.216	2.078	2
133	2.0	1.745	2.216	2.02	2
134	2.039	1.765	2.157	1.941	2
135	2.059	1.784	2.137	1.922	2
136	2.039	1.804	2.137	1.902	2
137	2.039	1.863	2.098	1.843	2
138	2.039	1.922	2.039	1.804	2
139	1.98	1.882	1.922	1.784	2
140	1.961	1.941	1.941	1.804	2
141	1.941	2.0	1.882	1.824	2
142	1.882	1.98	1.882	1.902	2
143	1.863	1.941	1.882	1.98	2
144	1.863	1.922	1.922	2.0	2
145	1.882	1.922	1.961	2.059	2
146	1.863	1.902	2.059	2.118	2
147	1.902	1.863	2.118	2.137	2
148	1.961	1.843	2.137	2.098	2
149	1.98	1.804	2.176	2.078	2
150	2.0	1.804	2.216	2.0	2
151	2.039	1.804	2.176	1.961	2
152	2.02	1.804	2.157	1.941	2
153	2.039	1.824	2.176	1.902	2
154	2.02	1.902	2.118	1.882	2
155	2.039	1.941	2.059	1.804	2
156	1.98	1.922	1.941	1.804	2
157	1.961	1.961	1.922	1.784	2
158	1.941	2.02	1.863	1.824	2
159	1.882	2.0	1.863	1.902	2
160	1.882	1.961	1.922	1.98	2
161	1.863	1.941	1.922	2.039	2
