time	channel1	channel2	channel3	channel4	class
0	1.961	1.882	2.059	1.941	0
1	1.961	1.902	2.059	1.961	0
2	2.0	1.902	2.02	1.961	0
3	2.0	1.922	2.059	1.961	0
4	1.902	1.863	2.039	1.98	0
5	1.941	1.882	2.02	2.0	0
6	1.941	1.902	2.02	1.98	0
7	1.961	1.902	2.039	2.02	0
8	1.98	1.902	2.059	2.0	0
9	2.02	1.882	2.059	1.98	0
10	2.039	1.902	2.078	1.941	0
11	2.059	1.922	2.078	1.941	0
12	1.961	1.863	2.059	1.941	0
13	1.961	1.863	2.059	1.961	0
14	2.02	1.863	2.059	1.961	0
15	2.039	1.863	2.059	1.922	0
16	2.02	1.922	2.059	1.941	0
17	1.961	1.902	2.059	1.961	0
18	1.961	1.882	2.039	1.98	0
19	1.98	1.882	2.02	1.98	0
20	2.0	1.922	2.039	1.98	0
21	1.922	1.863	2.02	1.98	0
22	1.922	1.882	2.0	2.0	0
23	1.922	1.882	1.98	1.98	0
24	1.941	1.902	2.0	2.0	0
25	1.961	1.922	2.02	2.0	0
26	1.98	1.902	2.039	1.98	0
27	2.0	1.863	2.098	1.961	0
28	2.098	1.922	2.078	1.961	0
29	1.961	1.863	2.02	1.961	0
30	1.98	1.863	2.039	1.941	0
31	1.98	1.882	2.078	1.941	0
32	2.02	1.882	2.078	1.941	0
33	2.02	1.902	2.039	1.941	0
34	2.0	1.902	2.02	1.941	0
35	1.961	1.882	2.078	1.941	0
36	1.941	1.902	2.039	1.98	0
37	1.98	1.902	2.059	1.98	0
38	1.922	1.882	2.0	1.961	0
39	1.961	1.902	2.0	1.961	0
40	1.902	1.902	2.0	1.98	0
41	1.902	1.882	2.02	2.0	0
42	1.941	1.882	2.02	1.98	0
43	1.98	1.902	2.059	2.0	0
44	2.02	1.941	2.098	1.961	0
45	2.0	1.922	2.078	1.941	0
46	1.922	1.843	2.039	1.941	0
47	1.941	1.843	2.039	1.941	0
48	1.98	1.863	2.039	1.941	0
49	2.0	1.882	2.078	1.922	0
50	1.98	1.882	2.078	1.941	0
51	1.961	1.902	2.078	1.941	0
52	1.902	1.863	2.0	1.922	0
53	1.961	1.882	2.039	1.98	0
54	1.961	1.882	2.039	1.941	0
55	1.882	1.882	2.039	1.961	0
56	1.961	1.922	2.059	1.98	0
57	1.941	1.882	2.02	2.02	0
58	1.941	1.843	2.0	1.98	0
59	1.941	1.863	2.039	1.98	0
60	2.0	1.902	2.059	1.98	0
61	2.0	1.922	2.098	1.941	0
62	2.02	1.941	2.098	1.941	0
63	1.941	1.863	2.039	1.941	0
64	2.0	1.843	2.059	1.941	0
65	2.02	1.863	2.059	1.922	0
66	2.02	1.863	2.059	1.902	0
67	2.02	1.882	2.059	1.902	0
68	1.98	1.902	2.059	1.922	0
69	1.941	1.902	2.078	1.922	0
70	1.961	1.882	2.059	2.0	0
71	1.941	1.902	2.059	1.961	0
72	1.902	1.902	2.039	1.98	0
73	1.961	1.882	2.02	1.98	0
74	1.941	1.902	2.0	2.0	0
75	1.922	1.882	2.02	1.98	0
76	1.98	1.902	2.039	1.98	0
77	1.98	1.902	2.059	1.98	0
78	1.941	1.863	2.118	1.961	0
79	2.098	1.922	2.098	1.961	0
80	1.941	1.863	2.02	1.961	0
81	1.98	1.843	2.039	1.941	0
82	1.98	1.882	2.059	1.922	0
83	2.0	1.863	2.078	1.922	0
84	1.98	1.882	2.059	1.922	0
85	1.961	1.902	2.059	1.941	0
86	1.941	1.902	2.059	1.98	0
87	1.98	1.902	2.059	1.941	0
88	1.98	1.922	2.039	1.98	0
89	1.902	1.863	2.039	1.961	0
90	1.941	1.882	2.0	1.961	0
91	1.902	1.882	2.0	2.0	0
92	1.941	1.882	2.02	2.0	0
93	1.961	1.882	2.02	2.02	0
94	2.0	1.882	2.039	1.961	0
95	2.0	1.902	2.078	1.961	0
96	2.0	1.922	2.118	1.961	0
97	1.922	1.863	2.039	1.98	0
98	1.98	1.843	2.039	1.941	0
99	2.0	1.843	2.059	1.941	0
100	2.039	1.882	2.078	1.922	0
101	1.98	1.882	2.078	1.941	0
102	1.961	1.882	2.039	1.961	0
103	1.941	1.863	2.039	1.98	0
104	2.02	1.922	2.039	2.02	0
105	1.961	1.902	2.059	1.98	0
106	1.922	1.902	2.02	1.98	0
107	1.902	1.882	2.0	1.98	0
108	1.902	1.882	2.0	1.98	0
109	1.902	1.902	2.0	2.0	0
110	1.941	1.882	2.039	2.0	0
111	1.961	1.882	2.039	2.0	0
112	1.941	1.922	2.098	1.961	0
113	2.078	1.902	2.098	1.941	0
114	1.922	1.863	2.039	1.961	0
115	1.98	1.824	2.039	1.941	0
116	1.961	1.863	2.059	1.941	0
117	2.0	1.902	2.059	1.941	0
118	2.0	1.902	2.059	1.941	0
119	1.961	1.902	2.059	1.941	0
120	1.922	1.922	2.059	1.961	0
121	1.863	1.902	2.078	1.98	0
122	1.941	1.941	2.078	1.961	0
123	1.922	1.922	2.039	1.98	0
124	1.922	1.902	2.02	1.961	0
125	1.922	1.902	1.98	2.0	0
126	1.941	1.941	2.02	1.98	0
127	1.98	1.922	2.039	1.961	0
128	1.961	1.902	2.039	1.961	0
129	1.98	1.882	2.118	1.941	0
130	2.0	1.902	2.098	1.941	0
131	1.941	1.863	2.02	1.941	0
132	1.961	1.882	2.039	1.941	0
133	2.0	1.882	2.078	1.941	0
134	2.039	1.863	2.078	1.941	0
135	2.059	1.902	2.078	1.941	0
136	2.039	1.922	2.059	1.961	0
137	1.98	1.902	2.039	1.961	0
138	1.882	1.882	2.039	1.941	0
139	1.922	1.902	2.059	1.98	0
140	1.941	1.882	2.02	1.961	0
141	1.961	1.902	2.02	1.98	0
142	1.922	1.902	2.02	1.98	0
