time	channel1	channel2	channel3	channel4	class
0	2.059	1.882	2.059	2.0	6
1	2.078	1.902	2.078	2.039	6
2	1.961	1.843	2.098	2.02	6
3	1.941	1.843	2.02	2.039	6
4	1.922	1.902	2.137	2.059	6
5	1.98	1.824	2.078	2.0	6
6	1.922	1.941	2.039	1.98	6
7	1.98	1.922	2.078	1.961	6
8	1.961	1.961	2.039	1.961	6
9	1.98	1.961	2.059	1.941	6
10	1.863	2.0	2.059	1.961	6
11	1.941	2.0	2.039	1.941	6
12	1.882	1.961	2.098	1.902	6
13	1.98	2.02	2.02	1.922	6
14	2.0	1.902	2.059	2.059	6
15	2.0	1.843	2.02	1.961	6
16	2.098	1.882	2.098	1.98	6
17	2.039	1.882	2.039	2.02	6
18	2.039	1.863	2.039	2.02	6
19	2.039	1.843	2.078	2.039	6
20	1.961	1.824	2.098	2.039	6
21	1.804	1.863	2.059	2.0	6
22	1.98	1.882	2.059	1.961	6
23	1.882	1.941	2.078	1.941	6
24	1.941	1.961	2.059	1.902	6
25	1.902	2.0	2.098	1.98	6
26	1.902	2.0	2.118	2.0	6
27	1.863	2.02	2.098	2.0	6
28	1.824	2.02	2.078	1.961	6
29	1.941	1.902	2.196	2.078	6
30	1.922	1.98	2.078	1.98	6
31	1.961	1.98	2.039	2.039	6
32	1.961	1.882	2.02	2.02	6
33	2.02	1.941	2.078	1.98	6
34	2.02	1.882	2.059	2.02	6
35	2.039	1.824	2.078	2.039	6
36	1.98	1.843	2.059	2.0	6
37	1.922	1.824	2.098	1.98	6
38	1.804	1.863	2.039	1.961	6
39	2.0	1.902	2.059	1.922	6
40	1.882	1.863	2.059	1.941	6
41	1.941	1.922	2.078	1.961	6
42	1.941	1.941	2.059	1.98	6
43	1.961	1.98	2.039	1.961	6
44	1.863	1.961	2.039	1.941	6
45	1.922	1.902	2.098	1.922	6
46	1.941	1.98	2.098	1.98	6
47	1.961	1.882	2.0	1.941	6
48	1.961	1.902	2.02	1.961	6
49	2.02	1.824	2.0	2.039	6
50	2.098	1.882	2.02	1.941	6
