time	channel1	channel2	channel3	channel4	class
0	1.804	1.784	2.098	2.118	3
1	1.745	1.745	2.0	2.118	3
2	1.863	1.804	2.059	2.059	3
3	1.902	1.824	2.039	1.922	3
4	2.0	1.863	2.176	1.863	3
5	1.98	2.0	2.196	1.902	3
6	1.941	1.98	2.078	2.02	3
7	1.804	2.0	2.098	2.196	3
8	1.882	1.941	2.0	2.275	3
9	1.863	1.843	1.922	2.157	3
10	1.824	1.922	1.961	1.941	3
11	1.941	1.843	1.961	1.824	3
12	2.098	1.941	2.02	1.706	3
13	2.098	1.961	2.02	1.549	3
14	2.078	2.059	2.137	1.647	3
15	2.118	2.039	2.157	2.098	3
16	2.0	1.941	2.157	2.569	3
17	2.02	2.137	2.157	2.569	3
18	2.118	1.961	2.059	2.216	3
19	1.902	1.804	1.922	1.784	3
20	1.863	1.902	2.02	1.392	3
21	2.039	1.941	1.941	1.471	3
22	1.882	1.941	1.98	1.961	3
23	2.039	2.098	2.216	2.431	3
24	2.039	2.078	2.196	2.333	3
25	2.137	2.137	2.294	2.118	3
26	2.118	2.078	2.137	2.137	3
27	1.843	1.882	1.922	2.176	3
28	1.961	1.784	1.902	2.333	3
29	2.039	1.745	1.922	2.176	3
30	2.137	1.863	2.216	1.863	3
31	2.255	2.039	2.333	1.608	3
32	2.196	1.882	2.353	1.314	3
33	2.118	1.902	2.294	1.529	3
34	1.902	1.745	1.98	1.961	3
35	1.922	1.686	1.882	2.294	3
36	1.922	1.843	2.118	2.294	3
37	2.039	1.98	2.176	2.098	3
38	2.039	1.922	2.059	1.745	3
39	1.941	1.863	2.059	1.549	3
40	2.0	1.804	2.039	1.51	3
41	1.765	1.706	1.961	1.608	3
42	1.922	1.882	2.137	1.824	3
43	2.059	1.98	2.118	2.02	3
44	1.98	1.745	1.98	2.039	3
45	2.059	1.667	1.98	1.961	3
46	2.118	1.706	2.118	1.824	3
47	2.157	1.745	2.176	1.804	3
48	2.059	1.784	2.216	1.882	3
49	2.059	1.804	2.098	1.961	3
50	1.98	1.725	2.039	2.059	3
51	1.902	1.745	2.0	2.216	3
52	1.961	1.784	2.059	2.216	3
53	2.0	1.784	2.098	2.333	3
54	1.922	2.039	2.137	2.333	3
55	2.02	2.235	2.098	2.255	3
56	1.98	2.157	1.922	2.373	3
57	1.941	1.902	1.745	2.235	3
58	1.804	1.863	1.98	1.922	3
59	2.098	2.294	2.569	2.059	3
60	2.078	2.294	2.176	2.039	3
61	1.765	1.941	1.784	2.078	3
62	1.902	1.902	1.667	2.157	3
63	1.961	1.922	1.941	2.059	3
64	2.216	2.098	2.314	2.02	3
65	2.255	2.078	2.333	2.098	3
66	2.078	1.941	2.157	2.078	3
67	1.922	1.804	2.078	1.961	3
68	1.824	1.882	2.039	1.804	3
69	1.882	1.882	2.039	1.588	3
70	1.961	2.0	2.157	1.451	3
71	1.902	1.98	2.137	1.529	3
72	1.98	2.0	2.137	1.765	3
73	2.039	2.039	2.176	2.02	3
74	2.078	2.078	2.275	2.118	3
75	1.922	1.961	2.098	2.0	3
76	1.843	1.882	2.078	1.686	3
77	1.922	2.118	2.216	1.824	3
78	1.98	2.118	2.157	2.02	3
79	2.039	1.941	2.0	2.078	3
80	2.02	1.804	1.961	2.02	3
81	2.0	1.706	1.98	1.882	3
82	2.078	1.784	2.137	1.784	3
83	2.137	1.824	2.176	1.824	3
84	1.961	1.843	2.098	1.941	3
85	1.804	1.725	2.02	2.059	3
86	1.706	1.902	2.02	2.039	3
87	1.765	1.882	2.0	1.98	3
88	1.784	1.804	1.843	2.039	3
89	1.902	1.784	1.961	2.137	3
90	1.98	2.02	2.157	2.235	3
91	2.059	2.0	2.098	2.216	3
92	1.98	1.863	2.02	2.157	3
93	1.882	1.882	1.98	2.078	3
94	1.745	1.863	1.922	2.039	3
95	1.725	1.863	2.0	2.02	3
96	1.98	1.902	2.02	2.039	3
97	2.118	1.843	2.039	2.176	3
98	2.157	1.843	2.039	2.176	3
99	2.098	1.765	2.0	2.137	3
100	2.02	1.745	1.98	2.137	3
101	1.863	1.725	2.02	2.235	3
102	1.784	1.725	2.0	2.333	3
103	1.922	1.863	2.176	2.412	3
104	2.02	1.902	2.137	2.196	3
105	1.922	1.882	2.078	1.98	3
106	1.941	1.98	1.961	1.804	3
107	1.784	1.922	1.941	1.961	3
108	1.863	1.98	2.0	2.157	3
109	1.843	2.059	2.0	2.353	3
110	1.843	1.882	1.882	2.314	3
111	1.882	1.902	2.039	1.922	3
112	2.0	2.196	2.353	1.745	3
113	2.098	2.137	2.118	1.882	3
114	1.941	1.863	1.863	1.922	3
115	2.039	1.804	1.824	1.784	3
116	2.137	1.922	2.078	1.667	3
117	2.235	2.0	2.333	1.804	3
118	2.059	1.804	2.0	2.02	3
119	1.765	1.745	1.804	2.098	3
120	1.902	1.824	1.902	2.255	3
121	1.843	1.725	1.765	2.137	3
122	1.902	1.882	2.216	1.784	3
123	2.157	2.157	2.431	1.373	3
124	2.059	2.059	2.157	1.51	3
125	2.039	2.059	2.078	1.863	3
126	1.941	1.961	2.02	2.176	3
127	1.863	1.941	2.078	2.412	3
128	1.941	2.0	2.157	2.353	3
129	2.059	2.098	2.196	2.176	3
130	2.059	2.098	2.176	1.843	3
131	2.02	1.902	2.137	1.627	3
132	2.078	1.804	2.078	1.529	3
133	2.157	1.863	2.314	1.608	3
134	2.235	1.941	2.412	1.922	3
135	2.059	1.824	2.275	2.118	3
136	1.765	1.824	2.098	2.157	3
137	1.686	1.745	1.961	2.039	3
138	1.804	1.765	2.039	1.824	3
139	1.824	1.902	2.02	1.745	3
140	2.098	2.039	2.157	1.882	3
141	2.0	2.0	2.235	2.0	3
142	2.137	2.078	2.235	2.059	3
143	1.922	1.824	1.961	2.078	3
144	1.765	1.706	1.804	2.078	3
145	1.706	1.745	1.902	2.157	3
146	1.706	2.0	2.118	2.294	3
147	1.941	2.078	2.098	2.333	3
148	2.059	1.902	1.941	2.216	3
149	2.118	1.824	2.0	1.941	3
150	2.137	1.922	2.157	1.569	3
151	2.059	1.784	2.0	1.451	3
