time	channel1	channel2	channel3	channel4	class
0	1.961	1.902	2.078	2.0	5
1	1.922	1.863	2.02	2.0	5
2	1.941	1.902	2.059	1.961	5
3	1.961	1.882	2.059	1.961	5
4	1.922	1.863	2.02	1.98	5
5	1.941	1.843	2.039	1.98	5
6	1.961	1.843	2.039	1.98	5
7	1.98	1.863	2.039	1.98	5
8	1.98	1.961	2.137	2.0	5
9	2.059	2.02	2.137	2.02	5
10	1.941	1.824	1.961	2.0	5
11	1.961	1.824	2.0	1.941	5
12	2.02	1.922	2.059	1.922	5
13	2.0	1.941	2.059	1.941	5
14	1.98	1.922	2.078	1.941	5
15	2.0	1.882	2.02	1.961	5
16	1.98	1.863	2.0	1.902	5
17	1.961	1.902	2.059	1.961	5
18	1.961	1.902	2.039	1.961	5
19	1.922	1.843	2.039	1.961	5
20	1.941	1.863	2.02	1.98	5
21	1.961	1.882	2.039	1.98	5
22	1.98	1.882	2.059	1.98	5
23	2.02	1.902	2.098	1.941	5
24	1.98	1.882	2.039	1.941	5
25	2.0	1.941	2.098	1.941	5
26	2.078	1.98	2.078	1.98	5
27	1.922	1.824	1.941	1.961	5
28	1.922	1.863	2.039	1.941	5
29	1.961	1.941	2.059	1.941	5
30	1.98	1.941	2.078	1.922	5
31	1.98	1.902	2.039	1.922	5
32	1.98	1.863	2.0	1.922	5
33	1.961	1.882	2.039	1.922	5
34	1.98	1.922	2.059	1.902	5
35	2.0	1.902	2.02	1.922	5
36	1.941	1.882	2.059	1.941	5
37	1.941	1.843	2.059	1.961	5
38	1.961	1.843	2.039	1.98	5
39	1.98	1.843	2.02	1.961	5
40	1.98	1.824	2.0	1.922	5
41	1.98	1.882	2.02	1.922	5
42	1.961	1.882	2.118	1.941	5
43	2.02	1.961	2.118	1.98	5
44	1.922	1.804	1.941	1.961	5
45	1.941	1.824	2.02	1.922	5
46	1.98	1.863	2.039	1.922	5
47	1.961	1.863	2.039	1.941	5
48	1.941	1.922	2.098	1.98	5
49	1.961	1.863	2.0	1.961	5
50	1.961	1.882	2.0	1.941	5
51	1.941	1.902	2.078	1.941	5
52	1.922	1.863	2.02	1.961	5
53	1.902	1.843	2.059	1.961	5
54	1.941	1.843	2.059	1.98	5
55	1.922	1.843	2.02	1.98	5
56	1.941	1.824	2.02	1.98	5
57	1.961	1.863	2.059	1.961	5
58	1.961	1.902	2.078	1.941	5
59	1.961	1.961	2.157	1.961	5
60	2.039	1.98	2.157	2.02	5
61	1.902	1.804	1.961	2.0	5
62	1.882	1.843	2.02	1.941	5
63	1.98	1.922	2.059	1.902	5
64	2.02	1.961	2.059	1.902	5
65	1.98	1.941	2.098	1.941	5
66	1.98	1.882	2.039	1.98	5
67	1.922	1.863	2.02	1.961	5
68	1.961	1.922	2.078	1.961	5
69	1.98	1.902	2.078	1.961	5
70	1.941	1.863	2.059	1.98	5
71	2.0	1.882	2.039	1.941	5
72	2.0	1.863	2.039	1.941	5
73	1.961	1.863	2.039	1.961	5
74	2.039	1.882	2.059	1.961	5
75	1.98	1.882	2.059	1.98	5
76	1.98	1.922	2.118	1.98	5
77	2.078	2.0	2.157	2.0	5
78	1.98	1.824	1.941	1.961	5
79	1.922	1.804	2.02	1.941	5
80	1.961	1.922	2.059	1.941	5
81	2.02	1.941	2.059	1.941	5
82	1.98	1.941	2.059	1.961	5
83	1.98	1.922	2.039	1.98	5
84	1.98	1.902	2.02	2.0	5
85	1.98	1.922	2.039	1.961	5
86	1.98	1.882	2.02	1.961	5
87	1.941	1.902	2.039	1.961	5
88	1.941	1.882	2.078	1.98	5
89	1.961	1.882	2.02	2.0	5
90	1.961	1.882	2.0	1.961	5
91	2.0	1.902	2.02	1.941	5
92	1.961	1.863	2.0	1.922	5
93	1.961	1.961	2.118	1.98	5
94	2.039	2.02	2.098	2.02	5
95	1.941	1.824	1.922	2.0	5
96	1.922	1.843	1.961	1.961	5
97	1.941	1.863	2.0	1.902	5
98	1.961	1.902	2.02	1.922	5
99	1.961	1.941	2.039	1.922	5
100	1.98	1.902	1.98	1.922	5
101	1.941	1.843	1.98	1.922	5
102	1.941	1.882	2.098	1.961	5
103	1.922	1.882	2.039	2.0	5
104	1.882	1.824	2.0	2.0	5
105	1.941	1.863	2.02	1.98	5
106	1.922	1.843	2.039	1.98	5
107	1.922	1.824	2.02	1.98	5
108	2.0	1.843	2.039	1.941	5
109	1.98	1.882	2.039	1.941	5
110	1.941	1.961	2.157	1.98	5
111	2.078	2.02	2.196	2.02	5
112	1.922	1.824	1.98	2.02	5
113	1.922	1.824	2.02	1.941	5
114	2.0	1.882	2.059	1.902	5
115	2.0	1.941	2.078	1.922	5
116	1.961	1.882	2.078	1.941	5
117	1.961	1.863	2.039	1.961	5
118	1.961	1.922	2.078	1.961	5
119	2.0	1.961	2.118	1.961	5
120	1.941	1.882	2.078	1.961	5
121	1.941	1.863	2.039	1.961	5
122	1.98	1.843	2.059	1.922	5
123	1.98	1.863	2.078	1.941	5
124	1.98	1.902	2.059	1.941	5
125	1.98	1.843	2.039	1.941	5
126	1.961	1.824	2.0	1.922	5
127	1.961	1.902	2.118	1.922	5
128	2.059	2.02	2.176	1.98	5
129	1.941	1.882	2.039	2.0	5
130	1.941	1.824	2.02	1.98	5
131	1.98	1.863	2.0	1.922	5
132	1.98	1.902	2.02	1.902	5
133	1.941	1.941	2.078	1.922	5
134	2.0	1.922	2.059	1.941	5
135	1.961	1.863	2.02	1.961	5
136	1.902	1.863	2.059	1.941	5
137	1.98	1.882	2.078	1.98	5
138	1.941	1.863	2.039	1.961	5
139	1.882	1.863	2.078	2.0	5
140	1.902	1.882	2.059	2.02	5
141	1.941	1.843	2.02	2.0	5
142	2.0	1.882	2.059	1.961	5
143	2.0	1.882	2.059	1.941	5
144	1.961	1.922	2.137	1.98	5
145	2.039	2.0	2.157	2.02	5
146	1.941	1.824	1.98	2.02	5
147	1.922	1.843	2.0	1.98	5
148	1.98	1.902	2.078	1.922	5
149	2.0	1.941	2.078	1.941	5
150	1.961	1.941	2.078	1.941	5
151	1.98	1.902	2.039	1.961	5
152	1.961	1.882	2.039	1.941	5
153	1.98	1.902	2.078	1.98	5
154	1.98	1.863	2.039	1.98	5
155	1.961	1.843	2.02	1.961	5
156	1.941	1.882	2.059	1.961	5
157	1.941	1.863	2.078	1.98	5
158	1.961	1.863	2.02	1.98	5
159	1.98	1.863	2.059	1.961	5
160	2.0	1.843	2.039	1.961	5
161	2.0	1.882	2.059	1.961	5
162	2.039	1.941	2.137	1.98	5
163	1.941	1.843	2.0	2.0	5
164	1.941	1.843	2.02	1.961	5
165	1.961	1.902	2.039	1.941	5
166	1.98	1.902	2.039	1.961	5
167	1.941	1.902	2.039	1.961	5
168	1.961	1.863	1.98	1.922	5
169	1.961	1.863	2.0	1.922	5
170	1.961	1.902	2.039	1.941	5
171	1.961	1.863	2.039	1.961	5
172	1.941	1.863	2.039	1.98	5
173	1.961	1.863	2.02	1.961	5
174	1.941	1.863	2.02	1.961	5
175	1.941	1.863	2.02	1.941	5
176	1.98	1.824	2.02	1.941	5
177	1.961	1.824	2.02	1.961	5
178	1.961	1.902	2.098	1.98	5
179	2.039	2.0	2.137	2.0	5
180	1.961	1.824	1.98	1.98	5
181	1.941	1.824	1.98	1.941	5
182	1.98	1.902	2.059	1.902	5
183	2.02	1.922	2.059	1.902	5
184	1.961	1.961	2.059	1.941	5
185	1.98	1.902	2.039	1.961	5
186	1.961	1.882	2.039	1.961	5
187	1.961	1.902	2.098	1.941	5
188	2.0	1.961	2.118	1.98	5
189	2.0	1.902	2.02	1.941	5
190	1.941	1.843	2.039	1.961	5
191	1.941	1.843	2.059	1.961	5
192	1.98	1.882	2.039	1.961	5
193	1.98	1.902	2.059	1.961	5
194	1.961	1.843	2.039	1.961	5
195	1.941	1.882	2.078	2.0	5
196	2.02	1.98	2.157	2.0	5
197	1.961	1.843	2.02	1.98	5
198	1.941	1.882	2.02	1.941	5
199	1.961	1.882	2.02	1.902	5
200	1.98	1.863	2.0	1.922	5
201	1.941	1.902	2.059	1.941	5
202	1.98	1.922	2.039	1.961	5
203	1.941	1.863	2.039	1.98	5
204	1.902	1.902	2.078	2.0	5
205	1.961	1.882	2.02	1.961	5
206	1.98	1.863	2.02	1.941	5
207	1.98	1.882	2.039	1.922	5
208	1.961	1.843	2.059	1.941	5
209	1.98	1.863	2.039	1.98	5
210	2.0	1.863	2.059	1.961	5
211	1.961	1.843	2.02	1.961	5
212	1.961	1.882	2.098	1.98	5
213	2.02	1.98	2.157	2.039	5
214	1.961	1.863	2.0	2.0	5
215	1.98	1.843	2.02	1.98	5
216	2.039	1.941	2.039	1.902	5
217	2.0	1.922	2.078	1.922	5
218	1.98	1.941	2.078	1.961	5
219	1.961	1.902	2.039	1.98	5
