time	channel1	channel2	channel3	channel4	class
0	2.098	1.922	2.294	1.725	6
1	2.157	1.843	2.098	1.686	6
2	2.02	1.725	1.843	1.725	6
3	1.98	1.686	1.667	1.745	6
4	1.98	1.667	1.569	1.863	6
5	1.902	1.706	1.549	2.02	6
6	1.863	1.706	1.569	2.118	6
7	1.843	1.745	1.588	2.176	6
8	1.843	1.843	1.725	2.176	6
9	1.863	1.902	1.902	2.235	6
10	1.843	2.02	2.137	2.196	6
11	1.882	2.039	2.294	2.157	6
12	1.902	2.098	2.451	2.078	6
13	1.98	2.078	2.51	1.922	6
14	2.0	2.098	2.51	1.843	6
15	2.02	2.039	2.529	1.784	6
16	2.059	2.0	2.451	1.725	6
17	2.098	1.902	2.275	1.725	6
18	2.098	1.824	2.098	1.706	6
19	2.0	1.725	1.843	1.725	6
20	2.0	1.667	1.706	1.765	6
21	1.941	1.667	1.549	1.882	6
22	1.902	1.667	1.549	2.0	6
23	1.882	1.667	1.569	2.098	6
24	1.824	1.725	1.608	2.137	6
25	1.824	1.784	1.745	2.196	6
26	1.843	1.882	1.882	2.216	6
27	1.863	2.0	2.137	2.235	6
28	1.882	2.039	2.294	2.157	6
29	1.902	2.059	2.49	2.059	6
30	1.961	2.059	2.529	1.941	6
31	2.0	2.059	2.529	1.824	6
32	2.0	2.039	2.51	1.804	6
33	2.059	1.961	2.451	1.725	6
34	2.098	1.902	2.314	1.706	6
35	2.078	1.824	2.098	1.686	6
36	2.02	1.725	1.843	1.686	6
37	1.98	1.686	1.706	1.725	6
38	1.941	1.667	1.588	1.882	6
39	1.882	1.686	1.569	2.039	6
40	1.882	1.706	1.569	2.118	6
41	1.843	1.745	1.608	2.196	6
42	1.824	1.843	1.725	2.196	6
43	1.824	1.922	1.902	2.216	6
44	1.843	2.0	2.118	2.216	6
45	1.882	2.02	2.275	2.157	6
46	1.922	2.098	2.451	2.059	6
47	1.961	2.098	2.529	1.941	6
48	1.98	2.059	2.529	1.882	6
49	2.02	2.02	2.51	1.804	6
50	2.039	1.98	2.431	1.765	6
51	2.059	1.941	2.294	1.725	6
52	2.059	1.804	2.118	1.706	6
53	2.039	1.706	1.843	1.725	6
54	2.0	1.667	1.686	1.745	6
55	1.98	1.667	1.588	1.863	6
56	1.922	1.686	1.569	2.02	6
57	1.902	1.686	1.569	2.118	6
58	1.902	1.725	1.569	2.157	6
59	1.882	1.804	1.725	2.196	6
60	1.863	1.882	1.863	2.196	6
61	1.863	2.0	2.118	2.235	6
62	1.882	2.039	2.294	2.196	6
63	1.922	2.098	2.451	2.098	6
64	1.98	2.118	2.529	1.961	6
65	2.02	2.078	2.51	1.824	6
66	2.039	2.02	2.529	1.784	6
67	2.059	1.961	2.451	1.745	6
68	2.098	1.961	2.294	1.725	6
69	2.098	1.863	2.137	1.745	6
70	2.059	1.745	1.863	1.745	6
71	2.02	1.706	1.725	1.784	6
72	1.941	1.667	1.569	1.882	6
73	1.922	1.686	1.549	1.98	6
74	1.882	1.725	1.569	2.098	6
75	1.843	1.745	1.627	2.176	6
76	1.843	1.804	1.706	2.196	6
77	1.843	1.882	1.863	2.216	6
78	1.863	2.0	2.098	2.255	6
79	1.882	2.059	2.275	2.196	6
80	1.922	2.098	2.49	2.118	6
81	1.961	2.098	2.529	1.98	6
82	2.02	2.078	2.51	1.863	6
83	2.059	2.059	2.51	1.784	6
84	2.059	2.0	2.49	1.745	6
85	2.098	1.961	2.333	1.745	6
86	2.118	1.882	2.157	1.725	6
87	2.039	1.745	1.863	1.706	6
88	2.0	1.706	1.725	1.745	6
89	1.98	1.667	1.588	1.843	6
90	1.922	1.686	1.569	2.0	6
91	1.922	1.725	1.569	2.078	6
92	1.902	1.765	1.608	2.176	6
93	1.863	1.843	1.706	2.196	6
94	1.863	1.922	1.902	2.216	6
95	1.863	2.039	2.098	2.216	6
96	1.902	2.039	2.275	2.157	6
97	1.941	2.118	2.451	2.078	6
98	1.98	2.098	2.549	1.941	6
99	2.039	2.078	2.51	1.843	6
100	2.039	2.059	2.51	1.745	6
101	2.059	2.0	2.471	1.706	6
102	2.078	1.961	2.314	1.706	6
103	2.098	1.843	2.157	1.686	6
104	2.059	1.725	1.863	1.706	6
105	2.02	1.667	1.725	1.706	6
106	1.98	1.647	1.569	1.804	6
107	1.902	1.686	1.569	1.961	6
108	1.863	1.706	1.588	2.098	6
109	1.843	1.745	1.588	2.157	6
110	1.843	1.804	1.686	2.157	6
111	1.824	1.902	1.843	2.216	6
112	1.824	1.98	2.098	2.235	6
113	1.863	2.039	2.255	2.196	6
114	1.902	2.098	2.431	2.078	6
115	1.98	2.098	2.51	1.961	6
116	2.0	2.098	2.51	1.882	6
117	2.059	2.098	2.529	1.804	6
118	2.059	2.02	2.49	1.765	6
119	2.098	1.922	2.333	1.725	6
120	2.098	1.882	2.137	1.706	6
121	2.02	1.765	1.882	1.725	6
122	2.0	1.686	1.725	1.765	6
123	1.961	1.667	1.569	1.843	6
124	1.902	1.706	1.569	2.039	6
125	1.882	1.725	1.588	2.118	6
126	1.882	1.725	1.588	2.176	6
127	1.824	1.824	1.647	2.216	6
128	1.843	1.902	1.843	2.216	6
129	1.843	2.0	2.059	2.235	6
130	1.863	2.059	2.255	2.176	6
131	1.902	2.118	2.451	2.118	6
132	1.941	2.118	2.529	2.0	6
133	2.02	2.118	2.549	1.902	6
134	2.02	2.078	2.529	1.824	6
135	2.039	2.02	2.49	1.765	6
136	2.059	1.902	2.333	1.745	6
137	2.059	1.882	2.137	1.686	6
138	2.078	1.765	1.882	1.686	6
139	1.98	1.725	1.725	1.725	6
140	1.961	1.686	1.608	1.824	6
141	1.922	1.686	1.549	1.98	6
142	1.882	1.706	1.569	2.078	6
143	1.882	1.745	1.588	2.137	6
144	1.824	1.824	1.647	2.176	6
145	1.843	1.882	1.843	2.196	6
146	1.863	1.98	2.039	2.216	6
147	1.902	2.039	2.255	2.176	6
148	1.922	2.118	2.431	2.078	6
149	2.0	2.098	2.529	1.941	6
150	2.02	2.118	2.529	1.843	6
151	2.02	2.078	2.529	1.784	6
152	2.039	2.02	2.49	1.765	6
153	2.078	1.922	2.314	1.686	6
154	2.078	1.863	2.176	1.667	6
155	2.039	1.745	1.882	1.667	6
156	2.0	1.706	1.745	1.686	6
157	1.98	1.706	1.588	1.784	6
158	1.922	1.686	1.569	1.961	6
159	1.863	1.706	1.588	2.098	6
160	1.843	1.745	1.588	2.118	6
161	1.863	1.804	1.686	2.157	6
162	1.824	1.922	1.843	2.176	6
163	1.843	1.98	2.078	2.196	6
164	1.882	2.02	2.255	2.176	6
165	1.941	2.098	2.451	2.118	6
166	1.98	2.078	2.549	1.98	6
167	2.039	2.078	2.529	1.843	6
168	2.059	2.039	2.549	1.804	6
169	2.059	1.98	2.49	1.745	6
170	2.137	1.941	2.314	1.706	6
171	2.137	1.863	2.157	1.667	6
172	2.059	1.725	1.922	1.686	6
173	2.02	1.686	1.745	1.745	6
174	1.98	1.667	1.588	1.824	6
175	1.941	1.686	1.569	1.961	6
176	1.902	1.686	1.549	2.059	6
177	1.882	1.706	1.588	2.118	6
178	1.843	1.784	1.627	2.216	6
179	1.824	1.882	1.804	2.196	6
180	1.863	2.0	2.039	2.255	6
181	1.902	2.039	2.255	2.196	6
182	1.922	2.118	2.412	2.137	6
183	1.941	2.098	2.529	2.0	6
184	2.02	2.078	2.549	1.882	6
185	2.039	2.059	2.51	1.843	6
186	2.059	1.961	2.49	1.784	6
187	2.059	1.882	2.314	1.745	6
188	2.059	1.843	2.176	1.725	6
189	2.059	1.745	1.902	1.706	6
190	1.98	1.686	1.745	1.745	6
191	1.941	1.647	1.608	1.863	6
192	1.902	1.667	1.549	2.0	6
193	1.863	1.686	1.569	2.118	6
194	1.882	1.725	1.588	2.196	6
195	1.824	1.784	1.686	2.235	6
196	1.784	1.882	1.804	2.294	6
197	1.843	1.961	2.0	2.294	6
198	1.863	2.02	2.235	2.255	6
199	1.882	2.118	2.412	2.196	6
200	1.922	2.098	2.529	2.059	6
201	1.98	2.078	2.51	1.961	6
202	2.0	2.059	2.49	1.882	6
203	2.059	2.0	2.471	1.824	6
204	2.059	1.922	2.353	1.784	6
205	2.059	1.863	2.176	1.765	6
206	2.059	1.745	1.902	1.765	6
207	2.02	1.686	1.745	1.765	6
208	2.0	1.667	1.608	1.863	6
209	1.941	1.667	1.549	2.02	6
210	1.902	1.686	1.529	2.137	6
211	1.882	1.725	1.588	2.196	6
212	1.882	1.784	1.667	2.216	6
213	1.843	1.882	1.804	2.275	6
214	1.843	1.941	2.02	2.275	6
215	1.882	2.0	2.216	2.235	6
216	1.922	2.078	2.392	2.137	6
217	1.98	2.098	2.51	2.039	6
218	2.02	2.078	2.51	1.922	6
219	2.039	2.039	2.529	1.863	6
220	2.059	2.0	2.471	1.765	6
221	2.118	1.922	2.333	1.765	6
222	2.059	1.863	2.196	1.725	6
223	2.078	1.725	1.941	1.706	6
224	2.02	1.667	1.745	1.745	6
225	2.0	1.647	1.588	1.784	6
226	1.961	1.667	1.529	1.941	6
227	1.882	1.686	1.549	2.078	6
228	1.843	1.706	1.588	2.157	6
229	1.824	1.765	1.667	2.235	6
230	1.765	1.882	1.824	2.216	6
231	1.843	1.98	2.02	2.255	6
232	1.882	2.02	2.235	2.216	6
233	1.882	2.078	2.373	2.157	6
234	1.941	2.098	2.51	2.0	6
235	1.98	2.098	2.529	1.902	6
236	1.98	2.098	2.529	1.863	6
237	1.98	2.02	2.529	1.824	6
238	2.039	1.961	2.373	1.804	6
239	2.02	1.902	2.255	1.784	6
240	2.039	1.765	1.961	1.745	6
241	1.98	1.706	1.784	1.745	6
242	1.98	1.706	1.627	1.843	6
243	1.922	1.706	1.588	1.98	6
244	1.902	1.706	1.569	2.098	6
245	1.863	1.725	1.588	2.157	6
246	1.863	1.804	1.686	2.176	6
247	1.824	1.902	1.824	2.255	6
248	1.843	1.941	2.02	2.255	6
249	1.902	2.0	2.235	2.196	6
250	1.922	2.078	2.373	2.098	6
251	1.961	2.078	2.529	1.98	6
252	2.0	2.059	2.51	1.882	6
253	2.059	2.059	2.549	1.824	6
254	2.039	2.0	2.49	1.784	6
255	2.059	1.922	2.392	1.725	6
256	2.078	1.843	2.216	1.725	6
257	2.059	1.745	1.941	1.667	6
258	2.0	1.686	1.784	1.686	6
259	1.961	1.667	1.608	1.765	6
260	1.922	1.647	1.569	1.922	6
261	1.902	1.686	1.569	2.078	6
262	1.882	1.706	1.569	2.118	6
263	1.843	1.765	1.647	2.137	6
264	1.824	1.863	1.804	2.176	6
265	1.863	1.941	2.0	2.235	6
266	1.863	2.0	2.216	2.196	6
267	1.922	2.039	2.373	2.118	6
268	1.941	2.098	2.529	2.0	6
269	1.961	2.078	2.549	1.902	6
270	2.0	2.098	2.549	1.824	6
271	2.039	2.0	2.49	1.784	6
272	2.118	1.902	2.392	1.706	6
273	2.098	1.882	2.235	1.686	6
274	2.059	1.745	1.961	1.686	6
275	2.0	1.686	1.784	1.725	6
276	1.98	1.647	1.608	1.784	6
277	1.961	1.667	1.549	1.902	6
278	1.902	1.686	1.569	2.039	6
279	1.882	1.706	1.588	2.137	6
280	1.843	1.765	1.647	2.196	6
281	1.843	1.863	1.804	2.196	6
282	1.843	1.98	1.98	2.235	6
283	1.843	2.02	2.235	2.196	6
284	1.882	2.078	2.373	2.137	6
285	1.961	2.098	2.529	2.039	6
286	2.02	2.098	2.529	1.922	6
287	2.02	2.098	2.529	1.843	6
288	2.039	2.02	2.51	1.804	6
289	2.059	1.961	2.373	1.784	6
290	2.118	1.902	2.275	1.745	6
291	2.078	1.804	1.961	1.686	6
292	1.98	1.725	1.804	1.725	6
293	1.98	1.706	1.627	1.824	6
294	1.922	1.667	1.549	1.941	6
295	1.902	1.706	1.569	2.039	6
296	1.882	1.745	1.569	2.137	6
297	1.843	1.784	1.647	2.216	6
298	1.784	1.902	1.784	2.216	6
299	1.863	1.961	1.98	2.235	6
300	1.882	2.02	2.216	2.196	6
301	1.902	2.098	2.392	2.157	6
302	1.961	2.137	2.529	2.039	6
303	2.0	2.098	2.51	1.922	6
304	2.039	2.078	2.51	1.824	6
305	2.059	2.039	2.49	1.784	6
306	2.059	1.941	2.412	1.745	6
307	2.098	1.882	2.235	1.725	6
308	2.078	1.765	1.98	1.706	6
309	2.02	1.686	1.804	1.725	6
310	1.98	1.667	1.627	1.784	6
311	1.922	1.667	1.569	1.922	6
312	1.863	1.667	1.569	2.078	6
313	1.863	1.686	1.569	2.118	6
314	1.843	1.784	1.647	2.216	6
315	1.824	1.882	1.824	2.235	6
316	1.863	1.98	1.98	2.255	6
317	1.843	2.02	2.235	2.216	6
318	1.902	2.059	2.353	2.157	6
319	1.922	2.098	2.51	2.039	6
320	2.0	2.059	2.529	1.902	6
321	2.02	2.039	2.51	1.843	6
322	2.039	2.02	2.49	1.784	6
323	2.059	1.961	2.373	1.745	6
324	2.039	1.882	2.235	1.745	6
325	2.039	1.765	1.98	1.725	6
326	2.0	1.686	1.765	1.745	6
327	2.02	1.667	1.627	1.824	6
328	1.961	1.686	1.529	1.922	6
329	1.902	1.667	1.569	2.078	6
330	1.882	1.706	1.549	2.157	6
331	1.843	1.784	1.647	2.176	6
332	1.863	1.863	1.784	2.235	6
333	1.843	1.961	1.961	2.255	6
334	1.863	1.98	2.196	2.216	6
335	1.922	2.059	2.333	2.176	6
336	1.941	2.098	2.49	2.039	6
337	2.02	2.078	2.51	1.922	6
338	2.02	2.078	2.51	1.863	6
339	2.059	2.02	2.51	1.843	6
340	2.078	1.961	2.392	1.765	6
341	2.118	1.882	2.275	1.824	6
342	2.098	1.784	2.0	1.725	6
343	2.059	1.725	1.843	1.745	6
344	2.0	1.706	1.647	1.843	6
345	1.98	1.686	1.549	1.941	6
346	1.961	1.706	1.549	2.078	6
347	1.902	1.745	1.549	2.137	6
348	1.882	1.784	1.647	2.176	6
349	1.882	1.902	1.784	2.235	6
350	1.902	1.941	1.941	2.235	6
351	1.882	2.039	2.196	2.216	6
352	1.922	2.098	2.373	2.176	6
353	1.961	2.118	2.49	2.078	6
354	2.02	2.098	2.51	1.922	6
355	2.078	2.078	2.51	1.843	6
356	2.078	2.059	2.49	1.784	6
357	2.098	1.941	2.431	1.765	6
358	2.098	1.902	2.235	1.725	6
359	2.098	1.804	2.039	1.745	6
360	2.059	1.725	1.824	1.765	6
361	2.039	1.686	1.647	1.804	6
362	1.961	1.667	1.549	1.941	6
363	1.902	1.686	1.549	2.078	6
364	1.922	1.706	1.549	2.137	6
365	1.882	1.784	1.608	2.196	6
366	1.824	1.863	1.765	2.216	6
367	1.863	1.922	1.922	2.255	6
368	1.863	2.0	2.176	2.235	6
369	1.922	2.078	2.353	2.196	6
370	1.98	2.098	2.49	2.059	6
371	2.02	2.059	2.529	1.941	6
372	2.02	2.059	2.51	1.882	6
373	2.039	2.02	2.529	1.843	6
374	2.039	1.961	2.431	1.804	6
375	2.078	1.882	2.255	1.765	6
376	2.098	1.804	2.039	1.765	6
377	2.02	1.706	1.804	1.745	6
378	2.0	1.647	1.647	1.804	6
379	1.922	1.667	1.549	1.961	6
380	1.863	1.686	1.569	2.098	6
381	1.843	1.706	1.569	2.196	6
382	1.843	1.765	1.627	2.216	6
383	1.843	1.824	1.725	2.255	6
384	1.824	1.941	1.941	2.294	6
385	1.804	2.0	2.196	2.275	6
386	1.863	2.059	2.333	2.235	6
387	1.882	2.098	2.49	2.118	6
388	1.961	2.098	2.549	1.98	6
389	1.98	2.078	2.549	1.922	6
390	2.02	2.078	2.529	1.902	6
391	2.039	1.961	2.451	1.824	6
392	2.059	1.922	2.275	1.843	6
393	2.02	1.804	2.02	1.784	6
394	1.961	1.725	1.843	1.824	6
395	1.902	1.667	1.667	1.902	6
396	1.902	1.667	1.549	2.02	6
397	1.902	1.686	1.569	2.176	6
398	1.902	1.706	1.569	2.216	6
399	1.804	1.745	1.608	2.275	6
400	1.804	1.863	1.725	2.294	6
401	1.804	1.922	1.922	2.333	6
402	1.784	2.039	2.176	2.353	6
403	1.843	2.078	2.353	2.333	6
404	1.902	2.118	2.49	2.216	6
405	1.941	2.078	2.51	2.059	6
406	1.98	2.098	2.51	1.98	6
407	1.961	2.078	2.529	1.941	6
408	2.039	1.961	2.451	1.882	6
409	2.098	1.902	2.255	1.882	6
410	2.039	1.804	2.039	1.843	6
411	2.0	1.725	1.824	1.843	6
412	1.941	1.706	1.686	1.902	6
413	1.902	1.706	1.549	2.059	6
414	1.882	1.706	1.549	2.176	6
415	1.882	1.745	1.569	2.255	6
416	1.843	1.784	1.608	2.314	6
417	1.804	1.843	1.745	2.333	6
418	1.843	2.0	1.922	2.392	6
419	1.843	2.039	2.157	2.353	6
420	1.882	2.098	2.314	2.314	6
421	1.902	2.118	2.471	2.235	6
422	1.961	2.078	2.529	2.118	6
423	2.02	2.098	2.529	2.02	6
424	2.059	2.039	2.49	1.961	6
425	2.059	2.0	2.392	1.902	6
426	2.059	1.902	2.294	1.882	6
427	2.118	1.824	2.059	1.863	6
428	2.02	1.745	1.824	1.863	6
429	2.0	1.686	1.667	1.941	6
430	2.0	1.686	1.549	2.059	6
431	1.922	1.667	1.549	2.176	6
432	1.902	1.706	1.549	2.275	6
433	1.882	1.745	1.627	2.314	6
434	1.824	1.863	1.706	2.333	6
435	1.824	1.902	1.941	2.392	6
436	1.902	2.02	2.176	2.412	6
437	1.902	2.039	2.314	2.353	6
438	1.961	2.078	2.49	2.275	6
439	2.0	2.078	2.529	2.157	6
440	2.039	2.02	2.529	2.078	6
441	2.078	2.0	2.49	2.02	6
442	2.098	1.922	2.412	1.98	6
443	2.118	1.882	2.275	1.922	6
444	2.098	1.804	2.059	1.922	6
445	2.059	1.686	1.824	1.922	6
446	2.02	1.647	1.667	1.98	6
447	2.0	1.647	1.549	2.098	6
448	1.961	1.667	1.549	2.235	6
449	1.922	1.686	1.569	2.333	6
450	1.922	1.765	1.608	2.392	6
451	1.902	1.804	1.725	2.451	6
452	1.922	1.902	1.902	2.471	6
453	1.882	2.0	2.157	2.471	6
454	1.922	2.039	2.314	2.451	6
455	1.941	2.078	2.451	2.373	6
456	2.02	2.059	2.51	2.216	6
457	2.059	2.059	2.51	2.137	6
458	2.059	2.02	2.49	2.078	6
459	2.078	1.941	2.431	2.059	6
460	2.157	1.863	2.255	2.039	6
461	2.098	1.824	2.059	1.98	6
462	2.059	1.725	1.843	2.0	6
463	2.0	1.647	1.686	2.039	6
464	1.961	1.647	1.529	2.157	6
465	1.941	1.667	1.569	2.255	6
466	1.902	1.686	1.549	2.333	6
467	1.843	1.745	1.608	2.392	6
468	1.843	1.824	1.765	2.451	6
469	1.843	1.902	1.882	2.51	6
470	1.824	2.0	2.137	2.49	6
471	1.882	2.039	2.294	2.451	6
472	1.902	2.098	2.49	2.373	6
473	1.98	2.078	2.529	2.255	6
474	2.02	2.059	2.51	2.137	6
475	2.059	2.039	2.51	2.118	6
476	2.039	1.98	2.431	2.078	6
477	2.078	1.941	2.294	2.0	6
478	2.059	1.843	2.078	1.98	6
479	2.02	1.725	1.863	1.961	6
480	1.98	1.667	1.667	1.98	6
481	1.941	1.667	1.569	2.078	6
482	1.902	1.667	1.549	2.235	6
483	1.863	1.686	1.549	2.314	6
484	1.843	1.765	1.627	2.373	6
485	1.843	1.843	1.725	2.353	6
486	1.824	1.882	1.902	2.373	6
487	1.863	1.98	2.118	2.392	6
488	1.882	2.039	2.294	2.314	6
489	1.902	2.098	2.471	2.235	6
490	1.941	2.118	2.529	2.118	6
491	1.98	2.078	2.529	2.02	6
492	2.0	2.039	2.51	1.98	6
493	2.02	1.961	2.431	1.902	6
494	2.039	1.902	2.294	1.882	6
495	2.02	1.863	2.118	1.843	6
496	2.02	1.725	1.863	1.824	6
497	2.02	1.667	1.686	1.824	6
498	1.98	1.667	1.569	1.922	6
499	1.922	1.686	1.549	2.02	6
500	1.922	1.706	1.588	2.118	6
501	1.843	1.765	1.608	2.196	6
502	1.824	1.843	1.765	2.196	6
503	1.843	1.922	1.882	2.196	6
504	1.843	2.0	2.118	2.196	6
505	1.922	2.039	2.294	2.137	6
506	1.941	2.098	2.451	2.078	6
507	2.0	2.098	2.569	1.98	6
508	2.039	2.098	2.529	1.882	6
509	2.078	2.059	2.549	1.824	6
510	2.098	1.961	2.471	1.765	6
511	2.118	1.902	2.314	1.745	6
512	2.118	1.843	2.137	1.667	6
513	2.039	1.765	1.882	1.667	6
514	2.0	1.706	1.745	1.706	6
515	2.0	1.686	1.569	1.824	6
516	1.961	1.706	1.588	1.961	6
517	1.941	1.706	1.588	2.039	6
518	1.922	1.765	1.608	2.059	6
519	1.922	1.863	1.745	2.098	6
520	1.902	1.922	1.882	2.118	6
521	1.922	2.02	2.118	2.118	6
522	1.941	2.078	2.294	2.078	6
523	1.961	2.118	2.49	2.02	6
524	2.0	2.118	2.529	1.922	6
525	2.02	2.118	2.529	1.804	6
526	2.059	2.059	2.51	1.745	6
527	2.098	2.02	2.471	1.725	6
528	2.137	2.0	2.314	1.647	6
529	2.137	1.863	2.098	1.627	6
530	2.078	1.745	1.863	1.627	6
531	2.02	1.686	1.686	1.627	6
532	1.98	1.686	1.569	1.745	6
533	1.922	1.686	1.549	1.882	6
534	1.902	1.706	1.588	1.961	6
535	1.882	1.765	1.588	2.039	6
536	1.863	1.843	1.725	2.059	6
537	1.863	1.902	1.882	2.098	6
538	1.863	2.0	2.098	2.118	6
539	1.902	2.039	2.275	2.059	6
540	1.941	2.098	2.431	2.0	6
541	1.961	2.098	2.529	1.882	6
542	2.0	2.059	2.529	1.784	6
543	2.02	2.039	2.51	1.745	6
544	2.078	1.98	2.451	1.686	6
545	2.059	1.922	2.314	1.667	6
546	2.059	1.843	2.137	1.647	6
547	2.02	1.706	1.863	1.647	6
548	1.98	1.667	1.706	1.647	6
