time	channel1	channel2	channel3	channel4	class
0	1.863	1.686	1.922	1.922	7
1	1.843	1.667	1.902	1.863	7
2	1.882	1.647	1.961	1.784	7
3	2.0	1.608	1.941	1.686	7
4	2.02	1.765	2.0	1.706	7
5	1.941	1.706	1.843	1.804	7
6	1.863	1.667	1.804	1.902	7
7	1.882	1.824	2.0	1.98	7
8	2.02	1.922	2.059	2.02	7
9	1.922	1.824	2.02	2.039	7
10	1.961	1.804	2.059	2.0	7
11	2.196	2.039	2.196	2.0	7
12	2.098	1.706	1.882	1.941	7
13	1.882	1.588	1.863	1.804	7
14	2.039	1.765	2.02	1.765	7
15	1.961	1.745	2.078	1.863	7
16	1.922	1.745	2.078	1.98	7
17	2.059	1.843	2.157	2.02	7
18	2.059	1.882	2.039	2.0	7
19	1.941	1.843	1.961	1.941	7
20	1.941	1.922	2.137	1.961	7
21	2.039	2.0	2.176	1.98	7
22	2.0	1.922	2.0	1.961	7
23	1.902	1.667	1.725	1.804	7
24	1.863	1.667	1.745	1.667	7
25	1.961	1.745	1.863	1.608	7
26	1.922	1.667	1.902	1.686	7
27	2.0	1.882	2.176	2.02	7
28	2.235	2.078	2.196	2.294	7
29	2.039	1.765	1.941	2.255	7
30	1.765	1.471	1.824	1.98	7
31	1.922	1.588	1.902	1.686	7
32	2.039	1.647	1.882	1.588	7
33	2.0	1.608	1.922	1.667	7
34	1.961	1.647	1.961	1.804	7
35	1.98	1.745	2.02	1.961	7
36	1.941	1.843	2.02	2.078	7
37	1.843	1.784	1.922	2.078	7
38	1.902	1.882	2.039	2.02	7
39	1.941	2.0	2.078	1.941	7
40	2.0	1.98	2.02	1.882	7
41	1.922	1.902	2.039	1.863	7
42	1.902	1.863	1.98	1.843	7
43	1.922	1.686	1.667	1.882	7
44	1.843	1.529	1.275	1.922	7
45	2.098	1.882	1.686	1.882	7
46	2.137	1.706	1.824	1.745	7
47	1.882	1.353	1.588	1.608	7
48	1.863	1.294	1.647	1.588	7
49	1.98	1.451	1.843	1.745	7
50	2.059	1.451	1.765	1.804	7
51	2.02	1.353	1.529	1.686	7
52	1.941	1.275	1.392	1.529	7
53	2.098	1.549	1.588	1.471	7
54	2.078	1.549	1.529	1.627	7
55	1.922	1.549	1.608	1.804	7
56	1.98	1.667	1.824	1.882	7
57	1.922	1.843	1.961	1.902	7
58	1.922	1.882	2.059	1.882	7
59	2.039	1.922	2.196	1.902	7
60	1.941	2.0	2.235	2.02	7
61	1.922	2.216	2.373	2.196	7
62	2.059	2.627	2.686	2.294	7
63	2.157	2.569	2.745	2.294	7
64	1.843	2.196	2.549	2.255	7
65	1.843	2.451	2.608	2.314	7
66	1.882	2.49	2.647	2.431	7
67	1.843	2.49	2.804	2.51	7
68	1.863	2.608	2.941	2.529	7
69	1.882	2.706	2.961	2.569	7
70	1.902	2.765	2.902	2.588	7
71	1.941	2.627	2.804	2.529	7
72	1.902	2.471	2.627	2.431	7
73	1.824	2.431	2.529	2.373	7
74	1.882	2.353	2.333	2.294	7
75	1.824	2.176	2.235	2.216	7
76	1.863	2.255	2.314	2.137	7
77	2.0	2.176	2.294	2.02	7
78	2.02	1.902	2.157	1.902	7
79	2.157	1.98	2.098	1.882	7
80	2.118	1.706	1.412	1.902	7
81	1.882	1.392	1.039	1.784	7
82	2.059	1.569	1.529	1.667	7
83	2.039	1.51	1.843	1.608	7
84	1.98	1.333	1.706	1.627	7
85	2.02	1.353	1.431	1.627	7
86	2.118	1.608	1.51	1.608	7
87	2.118	1.824	1.608	1.627	7
88	2.02	1.725	1.49	1.608	7
89	2.059	1.647	1.451	1.608	7
90	1.941	1.627	1.49	1.588	7
91	1.98	1.725	1.686	1.647	7
92	2.02	1.882	1.765	1.686	7
93	2.02	1.902	1.784	1.667	7
94	2.039	1.922	1.882	1.667	7
95	1.961	1.843	1.902	1.784	7
96	2.0	2.176	2.275	2.02	7
97	2.157	2.157	2.294	2.059	7
98	1.882	1.863	2.137	1.961	7
99	1.941	2.0	2.294	1.863	7
100	2.039	2.039	2.314	1.824	7
101	1.961	1.98	2.333	1.941	7
102	1.941	2.039	2.373	2.078	7
103	1.961	1.98	2.255	2.176	7
104	1.902	2.078	2.314	2.176	7
105	1.882	2.137	2.373	2.098	7
106	1.882	2.059	2.275	2.0	7
107	1.961	2.098	2.333	1.961	7
108	1.902	1.961	2.137	2.02	7
109	1.824	1.902	1.843	2.176	7
110	1.922	1.843	1.882	2.255	7
111	1.98	1.863	2.235	2.176	7
112	2.039	1.902	2.255	2.078	7
113	2.098	2.098	2.275	2.059	7
114	1.941	1.745	1.902	2.078	7
115	1.686	1.412	1.745	2.039	7
116	1.902	1.471	1.804	2.02	7
117	1.98	1.647	1.98	2.059	7
118	2.039	1.765	2.02	2.078	7
119	1.98	1.686	1.961	2.098	7
120	1.922	1.647	1.922	2.098	7
121	1.961	1.706	1.902	2.098	7
122	1.902	1.784	1.961	2.118	7
123	1.961	1.902	1.941	2.118	7
124	1.902	1.784	1.882	2.059	7
125	1.902	1.843	1.98	1.902	7
126	1.941	1.882	2.039	1.765	7
127	1.98	1.961	2.078	1.784	7
128	1.941	1.784	1.863	1.941	7
129	1.922	1.765	1.804	2.118	7
130	2.118	2.078	2.059	2.216	7
131	2.157	1.843	1.882	2.118	7
132	1.843	1.373	1.686	1.824	7
133	1.902	1.529	1.882	1.667	7
134	2.059	1.745	1.902	1.706	7
135	2.078	1.667	1.863	1.784	7
136	1.941	1.686	1.922	1.902	7
137	1.922	1.608	1.804	1.961	7
138	1.98	1.588	1.667	1.902	7
139	1.961	1.588	1.608	1.765	7
140	2.0	1.667	1.725	1.686	7
141	2.039	1.667	1.824	1.706	7
142	2.0	1.588	1.725	1.824	7
143	1.922	1.667	1.627	1.98	7
144	1.882	1.765	1.686	2.059	7
145	1.961	1.804	2.039	2.059	7
146	1.98	1.922	2.255	2.039	7
147	2.039	2.216	2.314	2.02	7
148	2.137	1.941	2.098	1.961	7
149	1.863	1.667	2.02	1.922	7
150	1.922	1.843	2.039	1.941	7
151	1.882	1.824	2.02	1.98	7
152	1.882	1.882	2.314	2.078	7
153	1.922	2.176	2.529	2.196	7
154	1.961	2.294	2.529	2.255	7
155	1.941	2.333	2.471	2.294	7
156	1.882	2.255	2.451	2.353	7
157	1.863	2.275	2.471	2.294	7
158	1.863	2.412	2.51	2.176	7
159	1.882	2.49	2.471	2.059	7
160	1.863	2.255	2.314	2.0	7
161	1.902	2.255	2.353	2.039	7
162	1.941	2.294	2.373	2.098	7
163	1.98	2.157	2.255	2.118	7
164	1.961	2.294	2.49	2.137	7
165	2.0	2.157	2.216	2.098	7
166	1.745	1.667	1.725	1.961	7
167	1.863	1.725	1.902	1.98	7
168	1.98	1.725	2.157	2.059	7
169	2.02	1.824	2.235	2.098	7
170	1.941	1.843	2.098	2.039	7
171	2.0	1.843	1.882	1.824	7
172	2.02	1.863	1.765	1.686	7
173	1.961	1.882	1.706	1.706	7
174	1.922	1.804	1.824	1.824	7
175	1.902	1.745	1.843	1.961	7
176	1.902	1.725	1.784	1.98	7
177	1.902	1.725	1.706	1.941	7
178	1.961	1.725	1.667	1.843	7
179	1.98	1.667	1.667	1.725	7
180	1.961	1.608	1.686	1.667	7
181	2.059	1.941	2.059	1.706	7
182	2.137	2.0	2.098	1.804	7
183	1.902	1.608	1.941	1.882	7
184	1.922	1.608	1.922	1.941	7
185	1.98	1.608	1.922	1.824	7
186	2.039	1.745	2.039	1.706	7
187	2.0	1.863	2.118	1.706	7
188	1.98	1.784	2.059	1.765	7
189	1.961	1.824	2.059	1.902	7
190	1.961	1.941	2.118	2.0	7
191	1.941	2.039	2.137	2.0	7
192	1.882	2.039	2.157	1.902	7
193	1.961	2.039	2.118	1.804	7
194	1.961	2.157	2.176	1.804	7
195	2.0	2.275	2.275	1.902	7
196	1.98	2.176	2.216	2.039	7
197	1.961	2.02	2.157	2.059	7
198	2.059	2.157	2.294	2.118	7
199	2.118	2.137	2.235	2.098	7
200	1.843	1.745	2.0	1.961	7
201	1.941	1.863	2.0	1.784	7
202	2.039	1.941	2.0	1.686	7
203	2.02	1.882	2.0	1.706	7
204	1.961	1.882	2.059	1.863	7
205	2.02	1.922	1.922	2.0	7
206	1.941	1.902	1.941	2.059	7
207	1.902	1.882	1.922	2.0	7
208	1.941	1.98	1.98	1.882	7
209	1.961	2.0	1.98	1.863	7
210	1.922	1.902	1.804	1.784	7
211	1.882	1.863	1.804	1.686	7
212	1.98	1.961	1.804	1.647	7
213	1.941	1.804	1.804	1.667	7
214	1.98	1.902	2.02	1.882	7
215	2.078	2.235	2.255	2.196	7
216	2.137	2.118	2.098	2.294	7
217	1.843	1.608	1.843	2.059	7
218	1.902	1.667	1.922	1.804	7
219	1.961	1.745	2.039	1.667	7
220	1.961	1.706	1.98	1.706	7
221	1.922	1.804	2.02	1.843	7
222	2.039	2.02	2.137	2.0	7
223	2.0	2.0	2.118	2.157	7
224	1.882	1.941	2.098	2.216	7
225	1.941	1.98	2.157	2.176	7
226	2.0	2.02	2.196	2.118	7
227	2.0	2.0	2.176	2.039	7
228	1.98	1.98	2.176	2.02	7
229	2.0	2.039	2.216	2.059	7
230	1.941	1.922	2.098	2.059	7
231	1.941	1.804	2.0	1.961	7
232	1.941	1.922	2.176	1.941	7
233	2.098	1.941	2.196	1.98	7
234	2.0	1.451	2.0	2.0	7
235	1.941	1.392	1.902	2.0	7
236	2.02	1.471	1.784	1.863	7
237	2.039	1.608	1.784	1.784	7
238	1.863	1.725	2.02	1.882	7
239	1.843	1.588	2.098	1.941	7
240	1.922	1.608	2.098	1.941	7
241	2.039	1.784	2.078	1.882	7
242	2.02	1.647	1.686	1.784	7
243	1.804	1.451	1.647	1.725	7
244	1.902	1.706	1.882	1.784	7
245	1.922	1.843	1.961	1.922	7
246	1.902	1.941	2.098	2.059	7
247	1.902	2.02	2.176	2.137	7
248	1.843	1.824	2.137	2.078	7
249	1.941	1.961	2.314	2.02	7
250	2.118	2.039	2.255	1.922	7
251	1.843	1.686	2.157	1.882	7
252	1.882	1.804	2.333	1.941	7
253	1.961	1.922	2.392	2.078	7
