time	channel1	channel2	channel3	channel4	class
0	2.02	1.706	1.627	2.0	6
1	1.961	1.725	1.549	2.098	6
2	1.882	1.725	1.549	2.176	6
3	1.882	1.725	1.549	2.176	6
4	1.863	1.784	1.588	2.176	6
5	1.804	1.882	1.745	2.118	6
6	1.804	1.902	1.961	2.078	6
7	1.804	2.02	2.235	2.02	6
8	1.863	2.059	2.373	1.961	6
9	1.961	2.098	2.529	1.863	6
10	2.02	2.078	2.549	1.784	6
11	2.02	2.078	2.569	1.784	6
12	2.02	2.02	2.529	1.745	6
13	2.059	1.941	2.451	1.745	6
14	2.059	1.902	2.275	1.824	6
15	2.098	1.804	2.039	1.882	6
16	2.02	1.725	1.804	1.961	6
17	1.98	1.667	1.647	2.039	6
18	1.98	1.667	1.51	2.098	6
19	1.941	1.667	1.51	2.157	6
20	1.882	1.686	1.549	2.157	6
21	1.863	1.706	1.588	2.137	6
22	1.843	1.804	1.686	2.137	6
23	1.863	1.882	1.902	2.059	6
24	1.882	1.961	2.176	2.0	6
25	1.902	2.039	2.333	1.922	6
26	1.922	2.059	2.51	1.843	6
27	1.98	2.039	2.549	1.765	6
28	2.02	2.039	2.529	1.745	6
29	2.078	2.0	2.51	1.725	6
30	2.098	1.922	2.451	1.725	6
31	2.157	1.882	2.235	1.824	6
32	2.118	1.804	2.02	1.843	6
33	2.059	1.725	1.784	1.922	6
34	1.98	1.686	1.627	2.0	6
35	1.941	1.667	1.529	2.098	6
36	1.863	1.706	1.51	2.176	6
37	1.863	1.725	1.569	2.196	6
38	1.882	1.765	1.588	2.137	6
39	1.804	1.824	1.745	2.118	6
40	1.863	1.941	1.922	2.098	6
41	1.843	2.02	2.216	2.039	6
42	1.882	2.039	2.333	1.941	6
43	1.922	2.118	2.51	1.843	6
44	1.941	2.078	2.588	1.765	6
45	2.0	2.078	2.549	1.765	6
46	2.059	2.078	2.569	1.784	6
47	2.059	2.0	2.431	1.784	6
48	2.098	1.941	2.294	1.804	6
49	2.118	1.824	2.078	1.843	6
50	2.039	1.765	1.843	1.941	6
51	2.0	1.686	1.667	2.02	6
52	1.98	1.686	1.529	2.098	6
53	1.922	1.686	1.549	2.137	6
54	1.882	1.706	1.549	2.176	6
55	1.863	1.745	1.588	2.137	6
56	1.863	1.824	1.765	2.118	6
57	1.804	1.922	1.922	2.118	6
58	1.863	1.98	2.176	2.02	6
59	1.882	2.0	2.314	1.941	6
60	1.941	2.059	2.49	1.824	6
61	2.0	2.059	2.569	1.765	6
62	2.02	2.078	2.549	1.725	6
63	2.039	2.02	2.549	1.765	6
64	2.059	1.961	2.471	1.784	6
65	2.078	1.902	2.294	1.824	6
66	2.078	1.843	2.078	1.863	6
67	2.039	1.725	1.824	1.922	6
68	1.98	1.667	1.647	2.0	6
69	1.961	1.667	1.529	2.059	6
70	1.922	1.686	1.529	2.157	6
71	1.863	1.725	1.549	2.176	6
72	1.902	1.784	1.588	2.157	6
73	1.843	1.863	1.725	2.157	6
74	1.824	1.902	1.902	2.078	6
75	1.843	2.0	2.157	2.039	6
76	1.902	2.039	2.353	1.941	6
77	1.922	2.059	2.51	1.882	6
78	1.98	2.059	2.549	1.784	6
79	2.039	2.059	2.549	1.745	6
80	2.059	2.059	2.549	1.745	6
81	2.078	1.98	2.471	1.784	6
82	2.078	1.922	2.275	1.804	6
83	2.059	1.863	2.118	1.863	6
84	2.039	1.745	1.824	1.941	6
85	2.02	1.686	1.667	2.0	6
86	1.98	1.667	1.529	2.078	6
87	1.922	1.706	1.51	2.137	6
88	1.863	1.745	1.529	2.157	6
89	1.863	1.765	1.588	2.157	6
90	1.804	1.843	1.725	2.137	6
91	1.784	1.902	1.902	2.118	6
92	1.824	2.02	2.137	2.039	6
93	1.882	2.039	2.314	1.961	6
94	1.882	2.098	2.49	1.863	6
95	1.941	2.078	2.588	1.784	6
96	2.0	2.078	2.549	1.765	6
97	2.02	2.039	2.549	1.765	6
98	2.059	1.98	2.471	1.784	6
99	2.039	1.922	2.294	1.784	6
100	2.078	1.824	2.098	1.863	6
101	2.02	1.725	1.824	1.922	6
102	1.98	1.706	1.667	1.98	6
103	1.98	1.686	1.529	2.059	6
104	1.922	1.686	1.549	2.137	6
105	1.882	1.706	1.529	2.176	6
106	1.863	1.745	1.549	2.157	6
107	1.843	1.784	1.706	2.137	6
108	1.843	1.922	1.882	2.098	6
109	1.784	1.98	2.137	2.039	6
110	1.882	2.059	2.333	1.961	6
111	1.922	2.098	2.51	1.882	6
112	1.98	2.098	2.569	1.804	6
113	2.039	2.078	2.549	1.745	6
114	2.059	2.078	2.549	1.765	6
115	2.059	2.0	2.51	1.765	6
116	2.098	1.941	2.314	1.843	6
117	2.098	1.882	2.098	1.863	6
118	2.039	1.745	1.843	1.941	6
119	2.02	1.686	1.667	2.0	6
120	1.961	1.686	1.549	2.078	6
121	1.941	1.706	1.529	2.137	6
122	1.882	1.725	1.529	2.176	6
123	1.882	1.745	1.588	2.176	6
124	1.824	1.824	1.667	2.176	6
125	1.824	1.882	1.843	2.098	6
126	1.843	2.0	2.098	2.02	6
127	1.902	2.02	2.314	1.941	6
128	1.922	2.078	2.471	1.882	6
129	1.98	2.098	2.549	1.765	6
130	2.039	2.059	2.529	1.745	6
131	2.039	2.059	2.549	1.725	6
132	2.059	1.961	2.49	1.745	6
133	2.118	1.941	2.275	1.804	6
134	2.098	1.843	2.098	1.843	6
135	2.059	1.725	1.843	1.902	6
136	1.98	1.686	1.706	1.98	6
137	1.961	1.667	1.529	2.078	6
138	1.941	1.667	1.51	2.157	6
139	1.902	1.686	1.529	2.157	6
140	1.882	1.745	1.569	2.137	6
141	1.843	1.784	1.706	2.137	6
142	1.804	1.863	1.863	2.098	6
143	1.824	1.941	2.098	2.039	6
144	1.902	2.0	2.294	1.941	6
145	1.902	2.098	2.49	1.863	6
146	1.961	2.078	2.608	1.804	6
147	2.0	2.078	2.569	1.765	6
148	2.0	2.039	2.549	1.765	6
149	2.039	1.98	2.51	1.765	6
150	2.078	1.941	2.373	1.824	6
151	2.118	1.882	2.196	1.863	6
152	2.039	1.745	1.863	1.902	6
153	2.0	1.706	1.706	2.0	6
154	1.961	1.706	1.569	2.078	6
155	1.922	1.745	1.529	2.157	6
156	1.882	1.725	1.569	2.196	6
157	1.863	1.745	1.588	2.157	6
158	1.824	1.843	1.667	2.196	6
159	1.784	1.882	1.863	2.098	6
160	1.824	1.98	2.118	2.059	6
161	1.863	2.02	2.294	1.961	6
162	1.922	2.059	2.471	1.863	6
163	1.961	2.078	2.569	1.784	6
164	2.0	2.059	2.569	1.765	6
165	2.02	2.039	2.549	1.765	6
166	2.059	1.98	2.49	1.765	6
167	2.098	1.922	2.353	1.804	6
168	2.078	1.863	2.157	1.843	6
169	2.059	1.725	1.863	1.902	6
170	2.02	1.686	1.706	2.0	6
171	1.98	1.667	1.569	2.098	6
172	1.941	1.686	1.529	2.157	6
173	1.922	1.706	1.549	2.176	6
174	1.882	1.706	1.588	2.176	6
175	1.843	1.784	1.667	2.118	6
176	1.882	1.863	1.824	2.078	6
177	1.843	1.98	2.098	2.039	6
178	1.863	2.0	2.294	1.941	6
