time	channel1	channel2	channel3	channel4	class
0	1.922	1.725	1.843	1.725	7
1	1.961	1.784	1.843	1.824	7
2	1.824	1.725	1.784	1.882	7
3	1.824	1.784	1.843	1.961	7
4	2.0	1.941	1.922	1.863	7
5	2.216	1.941	1.863	1.765	7
6	2.059	1.922	1.667	1.745	7
7	1.902	1.843	1.627	1.706	7
8	1.961	2.02	1.882	1.784	7
9	1.941	1.922	1.824	1.922	7
10	2.0	1.824	1.765	2.02	7
11	2.137	2.078	2.0	1.961	7
12	2.196	2.059	2.02	1.843	7
13	1.843	1.529	1.706	1.647	7
14	1.922	1.451	1.745	1.569	7
15	2.157	1.725	1.686	1.667	7
16	2.235	1.667	1.412	1.784	7
17	2.078	1.588	1.49	1.804	7
18	2.059	1.706	1.824	1.745	7
19	2.039	1.824	1.922	1.725	7
20	2.078	1.843	1.824	1.843	7
21	2.039	1.804	1.647	1.843	7
22	2.0	1.882	1.843	1.843	7
23	2.039	1.941	1.863	1.922	7
24	1.863	1.961	1.765	1.98	7
25	1.98	2.078	1.784	1.922	7
26	2.118	1.941	1.863	1.863	7
27	2.098	1.706	1.941	1.902	7
28	2.0	2.078	2.412	2.059	7
29	2.078	2.373	2.333	2.196	7
30	1.824	1.882	1.902	2.137	7
31	1.922	1.98	2.118	2.039	7
32	1.98	2.078	2.451	2.078	7
33	1.961	2.137	2.569	2.275	7
34	1.961	2.176	2.588	2.392	7
35	2.02	2.196	2.451	2.275	7
36	1.961	2.255	2.451	2.118	7
37	1.922	2.235	2.529	2.059	7
38	1.824	2.176	2.451	2.0	7
39	1.784	2.255	2.608	2.118	7
40	1.902	2.529	2.667	2.353	7
41	1.961	2.431	2.588	2.49	7
42	1.941	2.176	2.431	2.353	7
43	1.863	2.118	2.373	2.157	7
44	1.882	2.137	2.373	1.961	7
45	2.0	2.137	2.451	1.824	7
46	2.118	2.314	2.529	1.863	7
47	1.784	1.784	2.216	1.922	7
48	1.902	1.569	2.098	1.941	7
49	2.02	1.765	2.176	2.02	7
50	2.02	1.922	2.196	2.137	7
51	1.961	1.647	2.078	2.137	7
52	1.882	1.588	1.98	2.039	7
53	1.922	1.608	2.0	1.863	7
54	2.059	1.882	2.118	1.824	7
55	2.098	1.882	2.02	1.824	7
56	2.078	1.588	1.902	1.765	7
57	1.98	1.627	1.804	1.745	7
58	1.961	1.627	1.549	1.765	7
59	1.941	1.667	1.686	1.902	7
60	1.922	1.725	2.02	2.098	7
61	1.961	1.647	2.059	2.176	7
62	1.98	1.647	2.157	2.078	7
63	2.137	1.824	2.137	1.961	7
64	1.922	1.392	1.667	1.706	7
65	1.98	1.373	1.686	1.529	7
66	1.961	1.49	1.745	1.608	7
67	1.902	1.471	1.706	1.804	7
68	1.863	1.431	1.784	1.98	7
69	1.941	1.608	2.078	2.078	7
70	1.98	1.784	2.118	2.039	7
71	2.137	1.922	2.118	1.961	7
72	1.98	1.804	1.902	1.902	7
73	1.804	1.843	1.98	1.922	7
74	1.824	1.843	1.902	1.922	7
75	1.882	1.843	1.843	1.863	7
76	1.98	2.0	1.98	1.922	7
77	2.059	2.078	2.157	2.059	7
78	2.078	2.0	2.176	2.216	7
79	1.922	2.02	2.294	2.314	7
80	2.059	2.157	2.275	2.255	7
81	1.765	1.667	1.863	1.961	7
82	1.882	1.647	1.882	1.686	7
83	2.078	1.804	1.98	1.588	7
84	2.039	1.882	2.039	1.824	7
85	1.922	1.922	2.157	2.176	7
86	2.02	2.039	2.098	2.392	7
87	1.922	1.941	2.02	2.275	7
88	1.902	1.98	2.078	2.0	7
89	1.941	1.961	2.02	1.647	7
90	1.922	2.039	2.039	1.51	7
91	1.98	2.137	2.0	1.725	7
92	2.0	1.98	1.804	2.059	7
93	1.98	1.941	1.784	2.216	7
94	1.745	1.902	1.882	2.137	7
95	1.765	1.863	1.922	1.941	7
96	2.039	2.0	2.098	1.804	7
97	2.255	2.137	2.098	1.765	7
98	2.02	1.627	1.765	1.725	7
99	1.922	1.706	1.902	1.784	7
100	1.961	1.824	1.961	1.922	7
101	1.941	1.941	2.059	2.059	7
102	1.941	1.784	2.078	2.078	7
103	2.098	1.745	1.941	1.843	7
104	2.059	1.902	1.843	1.608	7
105	1.941	2.02	1.784	1.725	7
106	1.843	2.059	1.98	2.0	7
107	1.882	1.902	2.294	2.216	7
108	1.98	2.02	2.294	2.118	7
109	2.098	2.255	2.059	1.804	7
110	2.137	2.176	1.686	1.549	7
111	2.02	1.922	1.863	1.529	7
112	1.765	1.941	2.314	1.784	7
113	1.922	2.235	2.451	2.098	7
114	2.176	2.353	2.314	2.333	7
115	1.882	1.804	1.941	2.294	7
116	1.902	1.647	1.941	2.039	7
117	2.137	1.882	2.176	1.863	7
118	2.0	1.941	2.255	1.922	7
119	1.824	1.804	2.137	2.039	7
120	1.824	1.941	2.078	2.196	7
121	2.059	2.098	1.922	2.176	7
122	2.157	2.0	1.902	2.098	7
123	1.941	1.922	2.196	1.941	7
124	1.902	1.98	2.294	1.902	7
125	1.882	2.078	2.353	2.059	7
126	1.882	2.137	2.216	2.255	7
127	1.882	2.176	2.176	2.294	7
128	1.941	2.0	2.157	2.176	7
129	1.961	1.824	2.078	1.941	7
130	2.0	1.667	2.137	1.706	7
131	2.196	2.078	2.431	1.725	7
132	1.941	1.804	2.137	1.824	7
133	1.784	1.529	2.039	2.02	7
134	1.941	1.706	2.235	2.216	7
135	2.078	1.98	2.471	2.333	7
136	2.059	1.824	2.392	2.216	7
137	1.961	1.765	2.314	2.02	7
138	1.922	1.824	2.176	1.902	7
139	1.922	1.863	2.176	1.882	7
140	2.02	1.941	2.176	1.922	7
141	1.98	1.941	2.176	2.0	7
142	1.941	2.0	2.196	2.02	7
143	2.02	2.118	2.294	2.137	7
144	2.039	2.235	2.275	2.333	7
145	2.0	2.059	2.098	2.431	7
146	1.922	1.765	1.961	2.333	7
147	1.922	1.765	2.098	2.137	7
148	2.118	2.137	2.196	2.0	7
149	1.902	1.667	1.824	1.804	7
150	1.843	1.569	1.784	1.647	7
151	2.0	1.725	1.922	1.647	7
152	2.02	1.902	2.118	1.941	7
153	1.98	1.843	2.176	2.314	7
154	2.0	1.725	1.922	2.314	7
155	1.98	1.706	1.725	2.02	7
156	1.922	1.824	1.804	1.745	7
157	1.843	1.745	1.804	1.647	7
158	1.863	1.824	1.863	1.725	7
159	2.0	2.02	1.922	1.882	7
160	2.059	1.941	1.804	2.0	7
161	2.078	2.0	1.922	2.0	7
162	1.98	1.902	1.961	1.922	7
163	1.902	1.863	1.863	1.863	7
164	1.902	1.863	1.941	1.804	7
165	2.059	2.0	2.02	1.745	7
166	1.902	1.588	1.667	1.725	7
167	1.941	1.667	1.706	1.745	7
168	2.0	1.667	1.765	1.804	7
169	2.059	1.863	2.02	1.843	7
170	2.098	1.784	1.882	1.686	7
171	2.02	1.765	1.529	1.471	7
172	1.882	1.824	1.667	1.49	7
173	1.922	2.0	2.02	1.647	7
174	1.922	2.078	2.157	1.863	7
175	1.961	2.157	2.137	2.039	7
176	1.98	2.02	1.824	2.039	7
177	1.941	2.0	1.647	1.843	7
178	1.98	2.098	1.667	1.588	7
179	1.961	2.039	1.922	1.588	7
180	1.961	1.941	1.98	1.804	7
181	1.961	1.922	2.098	2.039	7
182	2.098	2.275	2.255	2.196	7
183	1.863	2.039	2.078	2.196	7
184	1.922	2.098	2.137	2.039	7
185	2.157	1.922	1.961	1.824	7
186	2.0	1.608	1.863	1.725	7
187	1.902	1.863	2.098	1.804	7
188	2.02	2.098	2.157	1.98	7
189	1.961	2.02	2.059	2.137	7
190	1.804	2.078	2.118	2.294	7
191	1.882	2.078	2.059	2.314	7
192	1.922	2.039	2.235	2.176	7
193	2.078	2.176	2.216	1.98	7
194	2.059	2.176	2.078	1.902	7
195	1.98	2.078	2.176	1.902	7
196	1.961	2.098	2.333	2.0	7
197	1.922	1.98	2.314	2.137	7
198	1.961	1.941	2.373	2.235	7
199	2.137	2.059	2.451	2.294	7
200	1.941	1.882	2.392	2.235	7
201	1.902	1.784	2.333	2.098	7
202	2.0	1.843	2.431	2.039	7
203	2.078	1.863	2.412	2.078	7
204	2.0	1.588	2.275	2.137	7
205	1.922	1.569	2.137	2.157	7
206	1.882	1.667	2.118	2.118	7
207	1.824	1.784	2.353	2.078	7
208	1.863	1.843	2.392	2.039	7
209	1.804	1.667	2.118	2.02	7
210	2.059	1.804	2.137	2.02	7
211	2.216	1.706	2.216	2.0	7
212	2.078	1.725	2.157	1.98	7
213	1.863	1.608	1.98	2.059	7
214	1.765	1.549	1.961	2.137	7
215	1.804	1.451	2.078	2.0	7
216	2.098	1.667	2.059	1.824	7
217	1.961	1.353	1.608	1.706	7
218	1.922	1.157	1.451	1.686	7
219	1.961	1.333	1.882	1.725	7
220	2.02	1.549	2.118	1.843	7
221	2.0	1.549	2.02	1.902	7
222	1.941	1.627	1.98	1.922	7
223	1.961	1.608	1.863	1.882	7
224	1.922	1.549	1.725	1.804	7
225	1.902	1.647	1.745	1.863	7
226	1.922	1.882	1.941	1.922	7
227	1.922	1.922	2.0	2.0	7
228	1.902	2.0	2.196	2.059	7
229	1.843	2.078	2.137	2.078	7
230	1.922	2.176	2.176	2.039	7
231	1.922	2.02	2.098	1.961	7
232	1.863	1.843	2.137	1.961	7
233	2.059	2.216	2.412	2.059	7
234	1.922	1.961	2.157	2.176	7
235	1.804	1.882	2.157	2.216	7
236	1.902	1.98	2.275	2.176	7
237	2.0	2.0	2.098	2.059	7
238	2.0	1.922	2.157	1.922	7
239	1.98	2.039	2.255	1.902	7
240	1.922	2.02	2.235	2.02	7
241	1.902	2.118	2.255	2.059	7
242	1.863	2.216	2.118	1.961	7
243	1.745	2.059	2.0	1.824	7
244	1.941	2.196	2.118	1.882	7
245	2.118	2.02	1.961	1.98	7
246	2.137	1.941	1.902	1.98	7
247	2.0	2.059	2.02	1.922	7
248	1.922	2.059	1.98	1.902	7
249	1.941	1.98	2.059	1.902	7
250	2.039	2.118	2.176	2.0	7
251	1.98	1.824	1.824	1.902	7
252	2.078	1.725	1.392	1.706	7
253	2.078	1.725	1.529	1.608	7
254	2.02	1.824	1.98	1.471	7
255	1.98	1.804	2.0	1.471	7
256	2.02	1.804	1.804	1.706	7
257	2.059	1.843	1.627	1.941	7
258	2.157	1.941	1.647	2.02	7
259	2.098	2.078	1.725	2.02	7
260	2.0	2.118	1.902	2.02	7
261	1.961	2.02	1.843	1.902	7
262	2.059	1.961	1.667	1.745	7
263	2.059	2.02	1.588	1.667	7
264	1.98	2.039	1.784	1.588	7
265	1.98	2.02	1.843	1.529	7
266	2.059	2.059	1.843	1.647	7
267	2.157	2.137	2.137	1.902	7
268	1.961	1.843	2.02	1.961	7
269	1.98	1.941	1.784	1.961	7
270	2.098	2.137	1.745	2.078	7
271	2.0	2.0	2.0	2.294	7
272	1.882	1.922	2.333	2.333	7
273	2.0	2.02	2.294	2.118	7
274	2.0	1.941	1.98	1.725	7
275	1.98	2.039	2.118	1.49	7
276	1.961	2.314	2.353	1.686	7
277	1.902	2.353	2.412	2.176	7
278	1.824	2.294	2.333	2.667	7
279	1.902	2.176	2.373	2.784	7
280	1.922	2.098	2.392	2.51	7
281	1.941	2.118	2.392	2.137	7
282	1.961	2.137	2.51	1.941	7
283	1.941	2.059	2.529	2.039	7
284	2.02	2.137	2.549	2.216	7
285	1.824	1.863	2.412	2.373	7
286	1.843	1.941	2.49	2.412	7
287	2.0	1.882	2.471	2.314	7
288	2.039	1.784	2.431	2.157	7
289	1.98	1.725	2.451	2.176	7
290	1.882	1.686	2.314	2.176	7
291	1.765	1.627	2.353	2.275	7
292	1.804	1.765	2.373	2.333	7
293	1.941	1.941	2.314	2.216	7
294	1.98	1.725	2.098	2.0	7
295	2.039	1.745	2.137	1.824	7
296	1.843	1.608	2.059	1.804	7
297	1.784	1.627	2.039	1.863	7
298	1.922	1.627	1.98	1.922	7
299	1.961	1.51	1.863	1.922	7
300	1.941	1.412	1.882	1.941	7
301	2.078	1.647	2.039	2.0	7
302	1.922	1.314	1.804	1.843	7
303	1.863	1.235	1.863	1.686	7
304	2.0	1.392	1.882	1.647	7
305	2.0	1.392	1.824	1.706	7
306	1.922	1.392	1.824	1.784	7
307	1.961	1.549	1.843	1.745	7
308	1.941	1.588	1.902	1.745	7
309	1.961	1.686	2.02	1.843	7
310	2.02	1.647	1.922	1.941	7
311	1.941	1.686	1.843	1.863	7
312	1.941	1.804	1.902	1.765	7
313	1.902	1.843	1.922	1.725	7
314	1.98	1.863	1.961	1.686	7
315	2.039	1.882	1.882	1.706	7
316	1.902	1.765	1.922	1.843	7
317	1.843	1.745	2.0	2.078	7
318	2.137	1.941	1.941	2.137	7
319	1.961	1.49	1.627	1.98	7
320	1.804	1.51	1.824	1.804	7
321	1.941	1.686	2.0	1.706	7
322	2.078	1.961	2.157	1.765	7
323	2.059	1.843	2.0	1.843	7
324	1.902	1.647	1.824	1.863	7
325	1.961	1.627	1.804	1.902	7
326	1.98	1.824	1.824	2.078	7
327	1.98	2.02	1.922	2.176	7
328	1.902	2.0	2.039	2.078	7
329	1.863	2.039	1.961	1.843	7
330	2.02	2.137	2.059	1.667	7
331	2.02	2.137	2.0	1.647	7
332	1.882	1.98	1.882	1.745	7
333	2.059	1.922	1.647	1.824	7
334	2.02	1.824	1.451	1.863	7
335	2.059	2.078	1.863	1.863	7
336	2.039	1.98	2.098	1.941	7
337	2.039	2.039	2.373	2.118	7
338	2.039	2.0	2.157	2.098	7
339	2.078	1.863	1.765	1.765	7
340	1.98	1.745	1.588	1.51	7
341	1.961	1.843	1.686	1.51	7
342	1.941	1.863	1.784	1.667	7
343	1.843	1.98	2.0	1.961	7
344	1.922	2.118	2.137	2.137	7
345	2.137	2.216	1.824	2.235	7
346	2.118	2.118	1.647	2.098	7
347	1.902	2.157	2.02	1.961	7
348	1.863	2.275	2.235	1.882	7
