time	channel1	channel2	channel3	channel4	class
0	2.118	2.098	2.078	1.922	3
1	2.196	2.118	2.137	1.961	3
2	2.118	2.294	2.098	2.0	3
3	2.216	2.275	2.235	1.961	3
4	2.216	2.137	2.235	1.961	3
5	2.255	2.294	2.118	1.98	3
6	2.176	2.451	2.039	1.961	3
7	2.471	1.961	2.157	1.941	3
8	2.451	2.02	2.157	1.961	3
9	2.333	2.157	2.098	1.941	3
10	1.804	2.471	2.118	1.941	3
11	1.882	2.059	2.255	1.922	3
12	2.157	1.824	2.196	1.922	3
13	1.98	1.843	2.216	1.902	3
14	2.0	1.647	2.235	1.902	3
15	2.235	2.059	2.216	1.902	3
16	2.471	2.275	2.157	1.922	3
17	2.196	2.451	2.098	1.941	3
18	2.059	2.137	2.098	1.961	3
19	2.039	2.078	2.137	1.961	3
20	2.157	2.118	2.137	1.922	3
21	2.176	2.0	2.275	1.922	3
22	2.137	2.039	2.216	1.922	3
23	1.922	2.176	2.157	1.922	3
24	2.549	1.922	2.098	1.902	3
25	2.392	2.275	1.961	1.941	3
26	2.294	2.471	1.961	1.961	3
27	2.235	2.353	1.98	1.941	3
28	2.451	2.333	2.098	1.941	3
29	2.431	2.431	2.176	1.961	3
30	2.039	2.353	2.176	1.922	3
31	2.078	2.02	2.118	1.922	3
32	2.235	1.863	2.176	1.941	3
33	2.039	2.216	2.137	1.922	3
34	1.922	2.216	2.118	1.902	3
35	2.118	2.039	2.137	1.922	3
36	2.314	2.118	2.137	1.922	3
37	2.275	2.294	2.078	1.941	3
38	2.294	1.941	2.157	1.941	3
39	2.314	1.765	2.137	1.941	3
40	2.039	2.373	2.137	1.922	3
41	2.529	2.196	2.137	1.941	3
42	2.431	1.961	2.137	1.941	3
43	2.431	1.902	2.235	1.922	3
44	2.314	1.98	2.294	1.922	3
45	2.353	1.824	2.255	1.922	3
46	2.314	1.961	2.196	1.922	3
47	2.216	2.196	2.078	1.922	3
48	1.98	2.275	2.039	1.922	3
49	1.882	1.882	2.196	1.922	3
50	2.039	1.627	2.294	1.922	3
51	2.078	1.882	2.314	1.922	3
52	1.98	1.804	2.255	1.922	3
53	1.98	1.843	2.196	1.941	3
54	2.235	2.118	2.157	1.941	3
55	2.216	2.373	2.137	2.0	3
56	2.078	2.373	2.02	1.941	3
57	1.765	1.843	2.137	1.922	3
58	2.059	1.706	2.275	1.922	3
59	1.961	1.804	2.216	1.941	3
60	1.765	2.059	2.078	1.941	3
61	1.902	2.039	2.059	1.922	3
62	2.078	2.412	2.0	1.902	3
63	2.333	2.529	2.098	1.902	3
64	2.235	2.353	2.137	1.961	3
65	2.137	2.118	2.098	1.922	3
66	2.098	2.039	2.078	1.922	3
67	2.176	2.059	2.098	1.922	3
68	2.196	2.059	2.118	1.902	3
69	2.176	2.176	2.098	1.922	3
70	2.353	2.196	2.157	1.961	3
71	2.451	2.392	2.157	2.0	3
72	2.373	2.529	2.157	1.961	3
73	2.235	2.235	2.196	1.961	3
74	2.0	2.157	2.255	1.941	3
75	2.235	1.902	2.235	1.922	3
76	2.118	2.216	2.137	1.941	3
77	2.039	2.216	2.157	1.961	3
78	1.961	2.275	2.118	1.941	3
79	1.941	2.216	2.039	1.941	3
80	2.176	2.059	2.176	1.922	3
81	2.059	1.98	2.196	1.922	3
82	1.882	2.059	2.137	1.941	3
83	2.137	1.843	2.216	1.941	3
84	2.216	2.078	2.176	1.941	3
85	2.275	2.216	2.137	1.941	3
86	2.255	2.059	2.137	1.961	3
87	2.275	2.176	2.196	1.961	3
88	2.314	2.314	2.078	1.941	3
89	2.275	2.294	2.02	1.941	3
90	2.098	2.196	2.039	1.941	3
91	1.882	2.314	2.098	1.922	3
92	2.608	1.941	2.235	1.941	3
93	2.49	2.255	2.137	1.961	3
94	2.549	2.118	2.118	1.98	3
95	2.451	2.294	2.02	1.941	3
96	2.412	2.216	2.039	1.902	3
97	2.412	2.137	2.235	1.922	3
98	2.314	2.137	2.275	1.922	3
99	2.294	2.118	2.176	1.941	3
100	2.235	1.961	2.216	1.902	3
101	2.078	1.843	2.118	1.902	3
102	2.039	1.863	2.078	1.902	3
103	2.059	2.157	2.118	1.941	3
104	2.039	2.294	2.275	1.902	3
105	2.078	1.667	2.392	1.922	3
106	2.098	1.922	2.333	1.98	3
107	2.059	2.098	2.176	1.922	3
108	1.941	2.137	2.098	1.902	3
109	2.137	2.078	1.98	1.922	3
110	1.98	2.471	1.882	1.941	3
111	2.02	1.98	2.059	1.922	3
112	2.0	1.941	2.216	1.902	3
113	1.98	1.843	2.333	1.902	3
114	2.098	1.961	2.216	1.902	3
115	2.098	2.216	2.039	1.922	3
116	2.059	2.314	2.02	1.922	3
117	2.137	2.333	2.039	1.902	3
118	2.118	2.196	2.137	1.922	3
119	2.196	2.059	2.137	1.922	3
120	2.314	2.157	2.118	1.98	3
121	2.314	2.294	2.078	1.941	3
122	2.039	2.176	2.098	1.941	3
123	1.941	2.02	2.078	1.922	3
124	1.961	2.098	2.0	1.941	3
125	1.863	2.235	2.078	1.902	3
126	2.216	2.059	2.157	1.922	3
127	2.137	2.275	2.137	1.961	3
128	2.098	2.647	2.118	1.98	3
129	2.078	2.216	2.137	1.941	3
130	2.314	1.882	2.157	1.922	3
131	2.373	2.176	2.137	1.961	3
132	2.294	2.392	2.137	1.961	3
133	2.157	2.176	2.176	1.961	3
134	2.196	1.902	2.196	1.922	3
135	2.059	1.745	2.255	1.902	3
136	2.176	1.98	2.235	1.941	3
137	2.294	2.078	2.216	1.922	3
138	2.333	2.314	2.118	1.941	3
139	2.137	2.275	2.157	1.941	3
140	2.059	2.216	2.137	1.941	3
141	1.98	2.216	2.078	1.941	3
142	1.706	1.98	2.137	1.922	3
143	2.255	1.647	2.275	1.922	3
144	2.176	1.824	2.255	1.922	3
145	2.078	2.078	2.255	1.922	3
146	2.118	2.235	2.216	1.941	3
147	2.196	2.176	2.157	1.922	3
148	2.353	2.333	2.137	1.922	3
149	2.275	2.235	2.216	1.98	3
150	2.059	2.098	2.176	1.961	3
151	2.314	1.961	2.157	1.941	3
152	2.137	2.216	2.078	1.941	3
153	1.941	2.098	2.118	1.922	3
154	2.02	1.941	2.157	1.922	3
155	2.118	2.157	2.255	1.922	3
156	2.02	2.078	2.373	1.922	3
157	2.098	2.078	2.275	1.941	3
158	2.176	2.118	2.118	1.941	3
159	1.941	2.275	2.059	1.941	3
160	2.157	2.314	1.941	1.941	3
161	2.255	2.294	1.863	1.961	3
162	2.196	2.216	2.059	1.941	3
163	2.02	2.216	2.255	1.922	3
164	1.98	2.059	2.216	1.941	3
165	2.157	2.137	2.137	1.922	3
166	2.157	2.157	2.039	1.922	3
167	2.078	2.157	2.059	1.922	3
168	2.216	2.02	2.098	1.902	3
169	2.078	2.098	2.059	1.922	3
170	2.157	2.255	2.059	1.922	3
171	2.118	2.02	2.078	1.922	3
172	2.078	1.902	2.098	1.922	3
173	2.196	2.118	2.118	1.941	3
174	2.235	2.216	2.078	1.941	3
175	2.118	2.431	2.0	1.98	3
176	2.02	2.451	2.118	1.902	3
177	2.392	1.706	2.255	1.922	3
178	2.412	1.941	2.176	1.961	3
179	2.255	2.196	2.137	1.961	3
180	2.137	2.255	2.118	1.922	3
181	2.294	2.098	2.078	1.902	3
182	2.275	2.118	2.157	1.902	3
183	2.314	2.157	2.216	1.902	3
184	2.118	2.157	2.216	1.902	3
185	2.137	1.902	2.196	1.902	3
186	2.157	1.902	2.176	1.902	3
187	2.157	2.02	2.196	1.902	3
188	2.137	2.039	2.118	1.941	3
189	2.255	1.98	2.137	1.902	3
190	2.078	2.216	2.157	1.922	3
191	2.314	2.137	2.235	1.961	3
192	2.118	2.0	2.216	1.941	3
193	1.804	2.02	2.137	1.902	3
194	1.941	1.863	2.216	1.902	3
195	1.922	2.039	2.196	1.922	3
196	1.863	2.275	2.255	1.922	3
197	1.941	2.176	2.275	1.922	3
198	2.118	2.02	2.176	1.922	3
199	2.176	2.176	1.922	1.902	3
200	2.157	2.333	1.961	1.902	3
201	2.02	2.216	2.196	1.922	3
202	2.314	1.882	2.294	1.922	3
203	2.216	1.941	2.294	1.922	3
204	2.216	1.98	2.196	1.922	3
205	2.157	2.216	2.157	1.961	3
206	2.294	2.157	2.078	1.922	3
207	2.255	2.255	2.02	1.922	3
208	2.196	2.51	2.0	1.941	3
209	2.235	2.216	2.176	1.98	3
210	1.863	2.118	2.176	1.902	3
211	2.333	1.941	2.176	1.922	3
212	2.255	2.118	2.098	1.922	3
213	2.118	2.255	2.059	1.922	3
214	1.882	2.275	2.059	1.902	3
215	1.98	2.137	2.078	1.902	3
216	2.137	2.118	2.098	1.902	3
217	2.0	2.176	2.078	1.902	3
218	2.176	2.078	2.118	1.902	3
219	2.275	2.333	2.098	1.922	3
220	2.314	2.196	2.275	1.922	3
221	2.216	2.039	2.275	1.922	3
222	2.235	1.882	2.235	1.922	3
223	2.333	1.784	2.216	1.922	3
224	2.275	2.255	2.157	1.961	3
225	2.235	2.196	2.118	1.961	3
226	2.157	2.392	2.0	1.941	3
227	2.02	2.745	2.039	1.922	3
228	2.137	2.0	2.176	1.922	3
229	2.196	1.804	2.137	1.941	3
230	1.824	2.216	2.157	1.941	3
231	1.804	2.118	2.216	1.922	3
232	1.902	1.922	2.196	1.902	3
233	2.157	2.255	2.176	1.902	3
234	2.216	2.353	2.137	1.922	3
235	2.098	2.314	2.137	1.922	3
236	2.176	2.196	2.235	1.961	3
237	2.176	2.078	2.196	1.98	3
238	2.02	2.059	1.98	1.941	3
239	2.059	2.0	1.961	1.922	3
240	2.098	2.176	2.098	1.922	3
241	2.118	2.235	2.235	1.922	3
242	2.118	2.098	2.235	1.922	3
243	2.137	2.0	2.157	1.941	3
244	2.137	2.235	2.118	1.922	3
245	2.373	1.784	2.118	1.902	3
246	2.314	2.157	2.039	1.922	3
247	2.137	2.412	2.098	1.941	3
248	2.059	2.196	2.137	1.922	3
249	2.118	1.824	2.157	1.882	3
250	2.255	2.039	2.078	1.902	3
251	2.118	2.176	2.059	1.941	3
252	2.157	1.922	2.118	1.922	3
253	2.118	2.059	2.235	1.922	3
254	2.078	2.176	2.196	1.902	3
255	2.078	1.98	2.176	1.922	3
256	2.078	2.235	2.118	1.902	3
257	2.137	2.216	2.137	1.902	3
258	2.137	2.02	2.176	1.922	3
259	2.157	1.961	2.157	1.922	3
260	2.118	1.882	2.118	1.922	3
261	2.059	2.569	2.098	1.902	3
262	2.294	2.157	2.137	1.902	3
263	2.196	2.157	2.059	1.922	3
264	2.059	2.373	2.078	1.941	3
265	1.882	2.118	2.157	1.922	3
266	1.941	1.941	2.196	1.902	3
267	2.098	2.118	2.176	1.922	3
268	2.0	2.176	2.216	1.941	3
269	1.961	1.922	2.176	1.902	3
270	2.176	1.882	2.196	1.902	3
271	2.176	2.078	2.176	1.922	3
272	2.235	2.078	2.118	1.922	3
273	2.098	2.196	2.059	1.922	3
274	2.176	2.078	2.137	1.922	3
275	2.137	1.941	2.216	1.902	3
276	2.039	1.922	2.235	1.922	3
277	1.961	2.02	2.235	1.922	3
278	1.784	2.118	2.235	1.902	3
279	2.412	1.765	2.216	1.902	3
280	2.373	2.196	2.059	1.941	3
281	2.137	2.49	1.98	1.922	3
282	2.078	2.176	2.02	1.922	3
283	2.176	2.216	2.157	1.902	3
284	2.176	2.039	2.235	1.902	3
285	2.0	2.176	2.176	1.902	3
286	1.941	2.137	2.098	1.902	3
287	2.098	2.235	2.078	1.902	3
288	2.118	2.157	2.157	1.902	3
289	2.255	2.039	2.157	1.902	3
290	2.196	2.078	2.118	1.922	3
291	2.235	2.176	2.078	1.922	3
292	2.078	2.196	2.098	1.922	3
293	2.098	2.176	2.157	1.941	3
294	2.059	2.078	2.176	1.941	3
295	2.02	2.235	2.196	1.941	3
296	2.098	2.137	2.176	1.902	3
297	2.118	2.216	2.118	1.922	3
298	2.039	2.196	2.118	1.922	3
299	2.0	2.039	2.118	1.902	3
300	2.118	1.961	2.137	1.882	3
301	2.275	2.235	2.157	1.882	3
302	2.255	2.039	2.235	1.902	3
303	2.157	1.902	2.157	1.902	3
304	2.196	2.039	2.157	1.902	3
305	2.118	2.353	2.098	1.922	3
306	2.059	2.176	2.059	1.902	3
307	2.078	1.941	2.078	1.922	3
308	2.098	2.078	2.098	1.902	3
309	2.059	2.216	2.137	1.922	3
310	2.059	2.059	2.157	1.922	3
311	2.059	2.118	2.078	1.922	3
312	2.176	2.314	2.078	1.922	3
313	2.353	2.078	2.098	1.922	3
314	2.255	2.275	2.078	1.941	3
315	2.137	2.333	2.098	1.941	3
316	1.961	2.078	2.137	1.922	3
317	2.039	2.0	2.137	1.902	3
318	1.922	2.196	2.118	1.902	3
319	1.863	2.235	2.0	1.922	3
320	1.804	2.157	2.0	1.902	3
321	2.157	2.039	2.157	1.902	3
322	2.118	2.098	2.255	1.941	3
323	2.118	2.02	2.294	1.961	3
324	2.157	1.98	2.255	1.922	3
325	2.137	1.961	2.294	1.922	3
326	2.196	2.0	2.216	1.941	3
327	2.078	2.118	2.098	1.961	3
328	2.078	2.235	2.039	1.98	3
329	2.176	2.294	2.157	1.98	3
330	2.098	2.196	2.157	1.941	3
331	1.902	2.059	2.196	1.961	3
332	1.922	2.039	2.255	1.961	3
333	1.922	2.0	2.196	1.902	3
334	2.02	1.961	2.216	1.941	3
335	1.961	2.176	2.176	1.922	3
336	1.922	2.255	2.098	1.922	3
337	1.863	2.255	2.078	1.902	3
338	2.039	2.157	2.118	1.902	3
339	2.118	1.863	2.176	1.902	3
340	2.098	1.922	2.176	1.902	3
341	2.078	2.078	2.137	1.902	3
342	2.078	2.235	2.078	1.922	3
343	2.0	2.294	2.078	1.922	3
344	2.078	2.196	2.078	1.922	3
345	2.098	2.039	2.098	1.922	3
346	2.137	2.157	2.176	1.902	3
347	2.353	2.059	2.196	1.902	3
348	2.333	2.216	2.137	1.961	3
349	2.137	2.353	2.137	1.961	3
350	2.039	2.275	2.196	1.961	3
351	2.098	2.098	2.118	1.922	3
352	2.078	2.275	2.118	1.902	3
353	2.0	2.137	2.157	1.941	3
354	1.804	2.078	2.157	1.902	3
355	2.0	1.941	2.157	1.902	3
356	2.098	1.784	2.275	1.922	3
357	2.078	2.0	2.216	1.902	3
358	2.118	2.059	2.118	1.922	3
359	2.176	2.294	2.098	1.941	3
360	2.098	2.353	2.098	1.941	3
361	2.176	2.157	2.176	1.922	3
362	2.157	1.863	2.216	1.922	3
363	2.216	1.922	2.275	1.902	3
364	2.275	1.902	2.314	1.922	3
365	2.353	2.059	2.235	1.98	3
366	2.255	2.196	2.137	1.941	3
367	2.137	2.392	1.941	1.922	3
368	2.098	2.471	1.922	1.902	3
369	2.157	2.157	2.118	1.902	3
370	2.098	2.039	2.216	1.902	3
371	1.98	2.059	2.294	1.941	3
372	2.098	2.216	2.275	1.922	3
373	1.98	2.118	2.176	1.922	3
374	2.078	2.039	2.098	1.902	3
375	2.137	2.157	2.02	1.902	3
376	2.098	2.314	2.02	1.922	3
377	2.059	2.431	2.137	1.922	3
378	2.176	1.902	2.216	1.922	3
379	2.157	1.882	2.176	1.902	3
380	2.392	2.176	2.118	1.941	3
381	2.235	2.059	2.176	1.961	3
382	2.098	2.451	2.078	1.98	3
383	2.078	2.392	2.039	1.961	3
384	2.176	2.196	2.196	1.941	3
385	2.176	1.863	2.176	1.922	3
386	2.176	2.235	2.118	1.922	3
387	2.137	2.137	2.098	1.922	3
388	2.0	2.039	2.118	1.922	3
389	2.039	2.039	2.157	1.902	3
390	2.059	2.039	2.176	1.902	3
391	1.941	2.059	2.118	1.922	3
392	2.039	2.059	2.098	1.922	3
393	2.176	2.059	2.098	1.902	3
394	2.196	2.098	2.098	1.922	3
395	2.176	2.235	2.078	1.922	3
396	2.118	2.118	2.118	1.922	3
397	2.157	2.314	2.176	1.961	3
398	2.392	2.039	2.235	1.961	3
399	2.137	2.157	2.098	1.941	3
400	2.0	2.275	2.098	1.922	3
401	1.922	2.176	2.137	1.922	3
402	1.902	1.941	2.157	1.902	3
403	1.863	2.078	2.137	1.902	3
404	1.863	2.196	2.118	1.902	3
405	1.824	2.157	2.098	1.902	3
406	1.922	2.059	2.157	1.902	3
407	2.0	2.059	2.176	1.902	3
408	2.039	2.02	2.157	1.902	3
409	2.078	2.118	2.137	1.922	3
410	2.118	2.196	2.137	1.922	3
411	2.196	2.098	2.157	1.922	3
412	2.098	2.118	2.137	1.922	3
413	2.039	2.039	2.137	1.922	3
414	2.039	2.098	2.176	1.902	3
415	2.196	1.941	2.157	1.902	3
416	2.176	2.039	2.098	1.922	3
417	2.059	2.294	2.098	1.941	3
418	1.98	2.157	2.176	1.922	3
419	2.157	2.02	2.275	1.922	3
420	2.098	1.98	2.373	1.902	3
421	1.941	2.098	2.216	1.922	3
422	1.902	2.216	2.0	1.941	3
423	1.902	2.118	2.02	1.941	3
424	2.059	2.039	2.196	1.961	3
425	2.078	1.941	2.176	1.922	3
426	2.059	2.02	2.255	1.922	3
427	2.216	2.118	2.275	1.922	3
428	2.275	2.039	2.216	1.941	3
429	2.157	2.059	2.137	1.98	3
430	2.216	2.137	2.039	1.922	3
431	2.373	2.333	2.02	1.902	3
432	2.294	2.196	2.098	1.902	3
433	2.176	2.255	2.118	1.922	3
434	2.059	2.176	2.098	1.922	3
435	2.078	2.118	2.039	1.922	3
436	2.196	2.118	2.059	1.902	3
437	2.294	2.255	2.059	1.902	3
438	2.137	2.235	2.137	1.922	3
439	2.02	2.196	2.098	1.902	3
440	2.137	2.176	2.098	1.902	3
441	2.137	2.137	2.137	1.902	3
442	2.039	2.098	2.137	1.922	3
443	2.039	2.098	2.118	1.922	3
444	2.098	2.216	2.157	1.961	3
445	1.941	2.353	2.137	1.922	3
446	2.02	2.216	2.137	1.922	3
447	2.059	2.0	2.118	1.941	3
448	2.294	2.235	2.118	1.922	3
449	2.216	2.098	2.157	1.902	3
450	2.098	2.118	2.137	1.922	3
451	2.078	2.196	2.118	1.941	3
452	1.961	2.294	2.137	1.922	3
453	2.059	1.961	2.216	1.941	3
454	2.0	1.941	2.176	1.902	3
455	1.882	2.235	2.118	1.902	3
456	1.902	2.078	2.157	1.882	3
457	2.02	1.804	2.216	1.882	3
458	2.02	1.961	2.235	1.902	3
459	2.039	2.098	2.196	1.902	3
460	2.039	1.863	2.157	1.902	3
461	2.118	1.824	2.157	1.902	3
462	2.0	2.039	2.255	1.941	3
463	2.078	1.902	2.294	1.961	3
464	2.02	2.137	2.255	1.922	3
465	2.137	2.059	2.235	1.882	3
466	2.118	1.882	2.255	1.902	3
467	2.118	2.02	2.157	1.922	3
468	2.255	2.137	2.118	1.922	3
469	2.275	2.059	2.196	1.922	3
470	2.216	2.039	2.118	1.922	3
471	2.373	2.157	2.176	1.902	3
472	2.235	2.02	2.216	1.902	3
473	2.157	2.216	2.078	1.922	3
474	2.157	2.49	2.059	1.922	3
475	2.039	2.157	2.216	1.922	3
476	2.118	2.098	2.118	1.922	3
477	2.196	2.176	2.078	1.961	3
478	2.235	2.294	2.098	1.98	3
479	2.098	2.549	2.078	1.98	3
480	2.196	2.275	2.0	1.941	3
481	2.176	2.353	2.039	1.941	3
482	2.314	2.392	2.078	1.922	3
483	2.412	2.157	2.118	1.922	3
484	2.333	2.157	2.039	1.941	3
485	2.216	2.314	2.02	1.941	3
486	2.039	2.216	2.039	1.922	3
487	2.098	2.059	2.078	1.902	3
488	2.216	2.255	2.137	1.902	3
489	1.961	2.353	2.059	1.902	3
490	1.863	2.0	2.059	1.902	3
